Unigrams,Negation,Contrast,Positive entities,Negative entities,Class
note,true,No,0,0,positive
than,true,No,0,0,positive
anticip,true,No,0,0,positive
third,false,No,0,0,positive
record,false,No,0,0,positive
close,false,No,0,0,positive
after,false,No,0,1,positive
overcom,false,No,0,1,positive
jitter,false,No,0,1,positive
from,false,No,0,1,positive
unexpectedli,false,No,0,1,positive
strong,false,No,0,1,positive
sale,false,No,0,1,positive
data,false,No,0,1,positive
power,false,No,0,0,positive
peak,false,No,0,0,positive
percent,false,No,0,0,positive
surg,false,No,0,0,positive
rose,false,No,0,0,positive
solidli,false,No,0,0,positive
fatten,false,No,0,0,positive
order,false,No,0,0,positive
strongli,false,No,0,0,positive
post,false,No,0,0,positive
broad,false,No,0,0,positive
base,false,No,0,0,positive
gain,false,No,0,0,positive
jump,false,No,0,0,positive
demand,false,No,0,0,positive
climb,false,No,0,0,positive
much,false,No,0,1,positive
more,false,No,0,1,positive
robust,false,No,0,1,positive
increas,false,No,0,1,positive
rise,false,No,0,0,positive
second,false,No,0,0,positive
increas,false,No,0,0,positive
haul,false,No,0,0,positive
jump,false,No,0,0,positive
drop,false,No,0,0,positive
leapt,false,No,0,0,positive
rise,false,No,0,0,positive
rebound,false,No,0,1,positive
from,false,No,0,1,positive
year,false,No,0,1,positive
high,false,No,0,1,positive
calm,false,No,0,0,positive
fear,false,No,0,0,positive
higher,false,No,0,0,positive
gain,false,No,0,0,positive
talk,false,No,0,0,positive
internet,false,No,0,0,positive
plan,false,No,0,0,positive
sharpli,false,No,1,0,positive
higher,false,No,1,0,positive
beat,false,No,0,1,positive
previou,false,No,0,1,positive
trade,false,No,0,1,positive
encourag,false,No,0,0,positive
higher,false,No,0,0,positive
gain,false,No,0,0,positive
open,false,No,0,0,positive
trade,false,No,0,0,positive
peak,false,No,0,0,positive
abov,false,No,0,0,positive
advanc,false,No,0,0,positive
peak,false,No,0,0,positive
press,false,No,0,0,positive
ahead,false,No,0,0,positive
with,false,No,0,0,positive
strike,false,No,0,0,positive
rebound,false,No,0,0,positive
empow,false,No,0,0,positive
bless,false,No,0,0,positive
safeti,false,No,0,1,positive
compani,false,No,0,1,positive
with,false,No,0,1,positive
proven,false,No,0,1,positive
record,false,No,0,1,positive
came,false,No,0,0,positive
within,false,No,0,0,positive
skip,false,No,0,0,positive
jump,false,No,0,0,positive
time,false,No,0,0,positive
high,false,No,0,0,positive
ralli,false,No,0,0,positive
slip,false,No,0,0,positive
profit,false,No,0,0,positive
take,false,No,0,0,positive
prop,false,No,0,0,positive
rise,false,No,0,0,positive
demand,false,No,0,0,positive
energi,false,No,0,0,positive
record,false,No,0,1,positive
record,false,No,0,0,positive
high,false,No,0,0,positive
rise,false,No,0,0,positive
point,false,No,0,0,positive
stronger,false,No,0,0,positive
than,false,No,0,0,positive
expect,false,No,0,0,positive
data,false,No,0,0,positive
boost,false,No,0,0,positive
help,false,No,0,0,positive
show,false,No,0,0,positive
confid,false,No,0,0,positive
show,false,No,0,0,positive
level,false,No,0,0,positive
confid,false,No,0,0,positive
push,false,No,0,0,positive
boost,false,No,0,0,positive
boost,false,No,0,0,positive
quadrupl,false,No,0,0,positive
boom,false,No,0,0,positive
demand,false,No,0,0,positive
boost,false,No,0,0,positive
robust,false,No,0,1,positive
demand,false,No,0,1,positive
jump,false,No,0,0,positive
demand,false,No,0,0,positive
close,false,No,0,0,positive
highest,false,No,0,0,positive
level,false,No,0,0,positive
record,false,No,0,0,positive
high,false,No,0,0,positive
rise,false,No,0,0,positive
hike,false,No,0,0,positive
increas,false,No,0,0,positive
reach,false,No,0,0,positive
high,false,No,0,0,positive
rose,false,No,0,0,positive
rose,false,No,0,0,positive
rule,false,No,0,0,positive
favor,false,No,0,0,positive
boost,false,No,0,0,positive
reaffirm,false,No,0,0,positive
curb,false,No,0,0,positive
promis,false,No,0,0,positive
relief,false,No,0,0,positive
improv,false,No,1,0,positive
qualiti,false,No,1,0,positive
boost,false,No,0,0,positive
protect,false,No,0,1,positive
curb,false,No,0,0,positive
perfect,false,No,1,0,positive
lighten,false,No,1,0,positive
convinc,false,No,0,0,positive
rose,false,No,0,0,positive
percent,false,No,0,0,positive
rose,false,No,0,0,positive
percent,false,No,0,0,positive
higher,false,No,0,0,positive
improv,false,No,0,0,positive
reach,false,No,0,1,positive
hamlet,false,No,0,1,positive
final,false,No,0,1,positive
emerg,false,No,0,0,positive
command,false,No,0,0,positive
advantag,false,No,0,0,positive
impress,false,No,0,0,positive
perform,false,No,0,0,positive
clock,false,No,1,0,positive
best,false,No,1,0,positive
time,false,No,1,0,positive
minut,false,No,1,0,positive
second,false,No,1,0,positive
advanc,false,No,0,0,positive
semifin,false,No,0,0,positive
reach,false,No,0,0,positive
semifin,false,No,0,0,positive
good,false,No,2,0,positive
match,false,No,2,0,positive
good,false,No,2,0,positive
score,false,No,0,0,positive
biggest,false,No,0,0,positive
victori,false,No,0,0,positive
happi,false,No,1,0,positive
high,false,No,0,0,positive
give,false,No,0,0,positive
them,false,No,0,0,positive
lead,false,No,0,0,positive
could,false,No,0,0,positive
thrust,false,No,0,1,positive
essex,false,No,0,1,positive
cours,false,No,0,1,positive
success,false,No,0,1,positive
went,false,No,1,1,positive
past,false,No,1,1,positive
previou,false,No,1,1,positive
test,false,No,1,1,positive
best,false,No,1,1,positive
keep,false,No,0,0,positive
pakistan,false,No,0,0,positive
look,false,No,1,0,positive
well,false,No,1,0,positive
capabl,false,No,1,0,positive
made,false,No,0,0,positive
histori,false,No,0,0,positive
gave,false,No,0,1,positive
black,false,No,0,1,positive
unbeat,false,No,0,1,positive
break,false,No,0,0,positive
broke,false,No,0,1,positive
knock,true,No,0,0,positive
three,true,No,0,0,positive
greatest,false,No,1,0,positive
accomplish,false,No,1,0,positive
sail,false,No,1,0,positive
great,false,No,1,0,positive
person,false,No,1,0,positive
satisfact,false,No,1,0,positive
open,false,No,0,0,positive
offic,false,No,0,0,positive
overcam,false,No,0,1,positive
some,false,No,0,1,positive
worst,false,No,0,1,positive
review,false,No,0,1,positive
year,false,No,0,1,positive
open,false,No,0,1,positive
offic,false,No,0,1,positive
soften,false,No,0,1,positive
save,false,No,0,0,positive
veri,false,No,1,0,positive
attract,false,No,1,0,positive
rose,false,No,0,0,positive
react,false,No,0,1,positive
posit,false,No,0,1,positive
opportun,false,No,0,1,positive
respond,false,No,0,1,positive
posit,false,No,0,1,positive
accept,false,No,0,0,positive
hope,false,No,1,0,positive
that,false,No,1,0,positive
there,false,No,1,0,positive
would,false,No,1,0,positive
speedi,false,No,1,0,positive
resolut,false,No,1,0,positive
inquiri,false,No,1,0,positive
will,false,No,0,0,positive
come,false,No,0,0,positive
relief,false,No,0,0,positive
vote,false,No,0,0,positive
percent,false,No,0,0,positive
favor,false,No,0,0,positive
rise,false,No,0,0,positive
rise,false,No,0,0,positive
forecast,false,No,0,0,positive
stabil,false,No,0,0,positive
gain,false,No,0,0,positive
rose,false,No,0,0,positive
gain,false,No,0,0,positive
close,false,No,0,0,positive
slightli,false,No,0,0,positive
higher,false,No,0,0,positive
grow,false,No,0,0,positive
rapidli,false,No,0,0,positive
ripe,false,No,1,0,positive
peak,false,No,0,1,positive
back,false,No,0,0,positive
right,false,No,0,0,positive
monei,false,No,0,0,positive
slightli,false,No,1,0,positive
better,false,No,1,0,positive
than,false,No,1,0,positive
estim,false,No,1,0,positive
juli,false,No,1,0,positive
expect,false,No,0,0,positive
expect,false,No,0,0,positive
there,false,No,1,0,positive
will,false,No,1,0,positive
concret,false,No,1,0,positive
progress,false,No,1,0,positive
claw,false,No,0,0,positive
back,false,No,0,0,positive
most,false,No,0,0,positive
loss,false,No,0,0,positive
recov,false,No,0,0,positive
recov,false,No,0,0,positive
follow,false,No,0,1,positive
string,false,No,0,1,positive
record,false,No,0,1,positive
last,false,No,0,1,positive
week,false,No,0,1,positive
culmin,false,No,0,0,positive
fridai,false,No,0,0,positive
trade,false,No,0,0,positive
high,false,No,0,0,positive
recov,false,No,0,0,positive
reason,false,No,0,0,positive
confid,false,No,0,0,positive
show,false,No,1,0,positive
necessari,false,No,1,0,positive
polit,false,No,1,0,positive
will,false,No,1,0,positive
meet,false,No,1,0,positive
have,false,No,0,0,positive
alreadi,false,No,0,0,positive
made,false,No,0,0,positive
consider,false,No,0,0,positive
progress,false,No,0,0,positive
pare,false,No,0,0,positive
back,false,No,0,0,positive
clear,false,No,1,0,positive
determin,false,No,1,0,positive
behalf,false,No,1,0,positive
govern,false,No,1,0,positive
meet,false,No,1,0,positive
rose,false,No,0,0,positive
recov,false,No,0,0,positive
strongli,false,No,0,0,positive
veri,false,No,0,0,positive
strong,false,No,0,0,positive
recoveri,false,No,0,0,positive
rebound,false,No,0,0,positive
better,false,No,1,1,positive
than,false,No,1,1,positive
same,false,No,1,1,positive
period,false,No,1,1,positive
year,false,No,1,1,positive
both,false,No,1,1,positive
japan,false,No,1,1,positive
abroad,false,No,1,1,positive
rebound,false,No,0,0,positive
gradual,false,No,0,0,positive
gradual,false,No,0,1,positive
recoveri,false,No,0,1,positive
trend,false,No,0,1,positive
peacefulli,false,No,1,0,positive
peacefulli,false,No,1,0,positive
more,false,No,0,1,positive
than,false,No,0,1,positive
percent,false,No,0,1,positive
worldwid,false,No,0,1,positive
membership,false,No,0,1,positive
accept,false,No,0,1,positive
offer,false,No,0,1,positive
from,false,No,0,0,positive
percent,false,No,0,0,positive
accept,false,No,0,0,positive
level,false,No,0,0,positive
delight,false,No,0,0,positive
well,false,No,1,0,positive
place,false,No,1,0,positive
high,false,No,1,0,positive
profit,false,No,1,0,positive
need,false,No,0,0,positive
strengthen,false,No,0,0,positive
push,false,No,0,0,positive
price,false,No,0,0,positive
higher,false,No,0,0,positive
turn,false,No,0,0,positive
higher,false,No,0,0,positive
highest,false,No,0,0,positive
rescu,false,No,0,0,positive
string,false,No,0,1,positive
record,false,No,0,1,positive
unwound,false,No,0,0,positive
freed,false,No,0,0,positive
canada,false,No,0,0,positive
with,false,No,0,0,positive
record,false,No,0,0,positive
smash,false,No,0,0,positive
victori,false,No,0,0,positive
record,false,No,0,0,positive
confirm,false,No,1,0,positive
them,false,No,1,0,positive
right,false,No,1,0,positive
owner,false,No,1,0,positive
would,false,No,0,0,positive
help,false,No,0,0,positive
great,false,No,1,0,positive
strateg,false,No,1,0,positive
import,false,No,1,0,positive
support,false,No,0,0,positive
gave,false,No,0,0,positive
boost,false,No,0,0,positive
support,false,No,0,0,positive
move,true,No,0,1,positive
underscor,true,No,0,1,positive
appl,true,No,0,1,positive
commit,true,No,0,1,positive
develop,true,No,0,1,positive
internet,true,No,0,1,positive
technolog,true,No,0,1,positive
extend,true,No,0,1,positive
relationship,true,No,0,1,positive
between,true,No,0,1,positive
compani,true,No,0,1,positive
time,true,No,0,1,positive
when,true,No,0,1,positive
thei,true,No,0,1,positive
both,true,No,0,1,positive
face,true,No,0,1,positive
extrem,true,No,0,1,positive
competit,true,No,0,1,positive
pressur,true,No,0,1,positive
provid,false,No,0,1,positive
hassl,false,No,0,1,positive
free,false,No,0,1,positive
experi,false,No,0,1,positive
comprehens,false,No,0,1,positive
custom,false,No,0,1,positive
care,false,No,0,1,positive
rose,false,No,0,0,positive
rise,false,No,0,0,positive
ralli,false,No,0,0,positive
rose,false,No,0,0,positive
rebound,false,No,0,0,positive
ralli,false,No,0,0,positive
highest,false,No,0,0,positive
futur,false,No,0,0,positive
price,false,No,0,0,positive
climb,false,No,0,0,positive
close,false,No,0,0,positive
higher,false,No,0,0,positive
four,false,No,0,0,positive
month,false,No,0,0,positive
high,false,No,0,0,positive
post,false,No,1,0,positive
solid,false,No,1,0,positive
profit,false,No,1,0,positive
kick,false,No,0,1,positive
justifi,false,No,0,0,positive
recent,false,No,0,0,positive
gain,false,No,0,0,positive
their,false,No,0,0,positive
stock,false,No,0,0,positive
price,false,No,0,0,positive
report,false,No,0,0,positive
profit,false,No,0,0,positive
will,true,No,0,1,positive
enough,true,No,0,1,positive
declar,true,No,0,1,positive
plan,true,No,0,1,positive
uncondit,true,No,0,1,positive
support,false,No,0,0,positive
grow,false,No,0,0,positive
lloyd,false,No,0,0,positive
rescu,false,No,0,0,positive
lift,false,No,0,0,positive
german,false,No,0,0,positive
stock,false,No,0,0,positive
higher,false,No,0,0,positive
close,false,No,0,0,positive
tuesdai,false,No,0,0,positive
higher,false,No,0,0,positive
help,false,No,0,1,positive
lift,false,No,0,1,positive
volum,false,No,0,0,positive
higher,false,No,0,0,positive
than,false,No,0,0,positive
mondai,false,No,0,0,positive
year,false,No,0,0,positive
chemic,true,No,0,0,positive
share,true,No,0,0,positive
drove,true,No,0,0,positive
afternoon,true,No,0,0,positive
gain,true,No,0,0,positive
report,false,No,0,0,positive
eight,false,No,0,0,positive
percent,false,No,0,0,positive
increas,false,No,0,0,positive
rise,false,No,0,0,positive
rose,false,No,1,0,positive
healthi,false,No,1,0,positive
percent,false,No,1,0,positive
forecast,false,No,0,0,positive
higher,false,No,0,0,positive
profit,false,No,0,0,positive
rise,false,No,0,0,positive
percent,false,No,0,0,positive
increas,false,No,0,0,positive
look,false,No,0,0,positive
fine,false,No,0,0,positive
rose,false,No,0,0,positive
great,false,No,2,0,positive
growth,false,No,2,0,positive
potenti,false,No,2,0,positive
will,false,No,2,0,positive
obtain,false,No,2,0,positive
better,false,No,2,0,positive
market,false,No,2,0,positive
posit,false,No,2,0,positive
increas,false,No,0,0,positive
increas,false,No,0,0,positive
percent,false,No,0,0,positive
gain,false,No,0,0,positive
jump,false,No,0,0,positive
jump,false,No,0,0,positive
jump,false,No,0,0,positive
gain,false,No,0,0,positive
increas,false,No,0,0,positive
higher,false,No,0,0,positive
profit,false,No,0,0,positive
more,false,No,0,0,positive
than,false,No,0,0,positive
doubl,false,No,0,0,positive
would,false,No,0,0,positive
clearli,false,No,0,0,positive
higher,false,No,0,0,positive
surg,false,No,0,0,positive
profit,false,No,0,0,positive
increas,false,No,0,0,positive
favour,false,No,1,0,positive
increas,false,No,0,0,positive
profit,false,No,0,0,positive
profit,false,No,0,0,positive
improv,false,No,0,0,positive
area,false,No,0,0,positive
group,false,No,0,0,positive
activ,false,No,0,0,positive
boost,false,No,0,0,positive
will,false,No,0,0,positive
increas,false,No,0,0,positive
expect,false,No,0,0,positive
worker,false,No,0,0,positive
year,false,No,0,0,positive
addit,false,No,0,0,positive
increas,false,No,0,0,positive
stand,false,No,0,0,positive
side,false,No,0,0,positive
seen,false,No,0,0,positive
promis,false,No,0,0,positive
trend,false,No,0,0,positive
monthli,false,No,0,0,positive
trade,false,No,0,0,positive
surplus,false,No,0,0,positive
sharpli,false,No,1,0,positive
slow,false,No,1,0,positive
chalk,false,No,0,0,positive
good,false,No,1,0,positive
figur,false,No,1,0,positive
market,false,No,1,0,positive
provid,false,No,1,0,positive
some,false,No,1,0,positive
bullish,false,No,1,0,positive
trend,false,No,1,0,positive
post,false,No,0,0,positive
gain,false,No,0,0,positive
concentr,false,No,0,0,positive
develop,false,No,0,0,positive
strong,false,No,0,0,positive
portfolio,false,No,0,0,positive
titl,false,No,0,0,positive
highest,false,No,0,0,positive
close,false,No,0,0,positive
ralli,false,No,0,0,positive
trade,false,No,0,0,positive
close,false,No,0,0,positive
around,false,No,0,0,positive
their,false,No,0,0,positive
highest,false,No,0,0,positive
year,false,No,0,0,positive
rose,false,No,0,0,positive
slightli,false,No,0,0,positive
higher,false,No,0,0,positive
narrowli,false,No,0,0,positive
outnumb,false,No,0,0,positive
hold,false,No,0,0,positive
abov,false,No,0,0,positive
delight,false,No,0,0,positive
implement,false,No,0,0,positive
successfulli,false,No,0,0,positive
gone,false,No,1,0,positive
veri,false,No,1,0,positive
well,false,No,1,0,positive
todai,false,No,1,0,positive
appear,false,No,1,0,positive
veri,false,No,1,0,positive
happi,false,No,1,0,positive
prompt,false,No,0,0,positive
concentr,false,No,0,0,positive
develop,false,No,0,0,positive
remain,false,No,0,0,positive
popular,false,No,0,0,positive
better,false,No,1,0,positive
reckon,false,No,0,0,positive
creat,false,No,0,2,positive
such,false,No,0,2,positive
domin,false,No,0,2,positive
forc,false,No,0,2,positive
industri,false,No,0,2,positive
rose,false,No,0,0,positive
climb,false,No,0,0,positive
rise,false,No,0,0,positive
record,false,No,0,0,positive
rise,false,No,0,0,positive
media,false,No,0,0,positive
share,false,No,0,0,positive
risen,false,No,0,0,positive
lead,false,No,0,0,positive
media,false,No,0,0,positive
sector,false,No,0,0,positive
continu,false,No,0,0,positive
rise,false,No,0,0,positive
encourag,false,No,0,0,positive
pretti,false,No,1,1,positive
well,false,No,1,1,positive
signal,false,No,1,1,positive
provid,false,No,1,0,positive
good,false,No,1,0,positive
platform,false,No,1,0,positive
enhanc,false,No,0,0,positive
jump,false,No,0,0,positive
special,false,No,0,0,positive
dividend,false,No,0,0,positive
jump,false,No,0,0,positive
expect,false,No,1,0,positive
veri,false,No,1,0,positive
good,false,No,1,0,positive
result,false,No,1,0,positive
prais,false,No,0,0,positive
repeat,true,No,0,0,positive
ugli,true,No,0,0,positive
scene,true,No,0,0,positive
slowli,false,No,0,0,positive
recov,false,No,0,0,positive
high,false,No,0,0,positive
spirit,false,No,0,0,positive
peacefulli,false,No,1,0,positive
approv,false,No,2,1,positive
rule,false,No,2,1,positive
design,false,No,2,1,positive
give,false,No,2,1,positive
stock,false,No,2,1,positive
market,false,No,2,1,positive
investor,false,No,2,1,positive
better,false,No,2,1,positive
chanc,false,No,2,1,positive
best,false,No,2,1,positive
price,false,No,2,1,positive
avail,false,No,2,1,positive
their,false,No,2,1,positive
order,false,No,2,1,positive
recognis,false,No,0,0,positive
qualifi,false,No,0,0,positive
improv,false,No,1,0,positive
close,false,No,0,1,positive
floor,false,No,0,1,positive
trade,false,No,0,1,positive
push,false,No,0,0,positive
london,false,No,0,0,positive
stock,false,No,0,0,positive
record,false,No,0,0,positive
help,false,No,0,1,positive
push,false,No,0,1,positive
lead,false,No,0,1,positive
london,false,No,0,1,positive
share,false,No,0,1,positive
record,false,No,0,1,positive
high,false,No,0,1,positive
jump,false,No,0,0,positive
jump,false,No,0,0,positive
cite,false,No,0,0,positive
rise,false,No,0,0,positive
near,false,No,0,0,positive
term,false,No,0,0,positive
confid,false,No,0,0,positive
rise,false,No,0,0,positive
confid,false,No,0,0,positive
help,false,No,0,1,positive
were,false,No,1,0,positive
better,false,No,1,0,positive
boost,false,No,0,0,positive
boost,false,No,0,0,positive
would,false,No,0,0,positive
rise,false,No,0,0,positive
send,false,No,0,0,positive
dollar,false,No,0,0,positive
soar,false,No,0,0,positive
abov,false,No,0,0,positive
forecast,false,No,0,0,positive
rise,false,No,0,0,positive
epidem,false,No,0,0,positive
rapid,false,No,0,0,positive
declin,false,No,0,0,positive
good,false,No,1,0,positive
accept,false,No,0,0,positive
accept,false,No,0,0,positive
have,false,No,0,0,positive
made,false,No,0,0,positive
their,false,No,0,0,positive
view,false,No,0,0,positive
toward,false,No,0,0,positive
ralli,false,No,0,0,positive
ralli,false,No,0,0,positive
again,false,No,0,0,positive
found,false,No,0,0,positive
support,false,No,0,0,positive
caught,false,No,1,0,positive
financi,false,No,1,0,positive
market,false,No,1,0,positive
boost,false,No,0,0,positive
will,false,No,0,0,positive
like,false,No,0,0,positive
lure,false,No,0,0,positive
back,false,No,0,0,positive
were,true,No,0,0,positive
point,true,No,0,0,positive
where,true,No,0,0,positive
fundament,true,No,0,0,positive
with,true,No,0,0,positive
back,false,No,0,0,positive
recoveri,false,No,0,0,positive
track,false,No,0,0,positive
buzz,false,No,0,0,positive
excit,false,No,0,0,positive
close,false,No,0,0,positive
record,false,No,0,0,positive
high,false,No,0,0,positive
alwai,false,No,0,1,positive
been,false,No,0,1,positive
ahead,false,No,0,1,positive
itself,false,No,0,1,positive
term,false,No,0,1,positive
fundament,false,No,0,1,positive
bring,false,No,0,0,positive
mexican,false,No,0,0,positive
market,false,No,0,0,positive
life,false,No,0,0,positive
plai,false,No,0,0,positive
major,false,No,0,0,positive
role,false,No,0,0,positive
expect,false,No,0,0,positive
save,false,No,0,0,positive
million,false,No,0,0,positive
would,false,No,1,0,positive
improv,false,No,1,0,positive
step,false,No,0,0,positive
revitalis,false,No,0,0,positive
feel,false,No,0,1,positive
like,false,No,0,1,positive
movi,false,No,0,1,positive
star,false,No,0,1,positive
limit,false,No,0,1,positive
edit,false,No,0,1,positive
shirt,false,No,0,1,positive
discount,false,No,0,1,positive
food,false,No,0,1,positive
merchandis,false,No,0,1,positive
brand,false,No,0,0,positive
credit,false,No,0,0,positive
card,false,No,0,0,positive
that,false,No,0,0,positive
make,false,No,0,0,positive
into,false,No,0,0,positive
debt,false,No,0,0,positive
more,false,No,0,0,positive
than,false,No,0,0,positive
usual,false,No,0,0,positive
preferenti,false,No,0,1,positive
seat,false,No,0,1,positive
restaur,false,No,0,1,positive
offer,false,No,0,0,positive
increas,false,No,0,0,positive
gain,false,No,0,0,positive
rose,false,No,0,0,positive
higher,false,No,0,0,positive
pull,false,No,0,0,positive
coffe,false,No,0,0,positive
price,false,No,0,0,positive
higher,false,No,0,0,positive
ralli,false,No,0,0,positive
held,false,No,1,0,positive
interest,false,No,1,0,positive
rate,false,No,1,0,positive
steadi,false,No,1,0,positive
rose,false,No,0,0,positive
close,false,No,0,0,positive
within,false,No,0,0,positive
stone,false,No,0,0,positive
throw,false,No,0,0,positive
record,false,No,0,0,positive
close,false,No,0,0,positive
high,false,No,0,0,positive
keep,false,No,1,0,positive
interest,false,No,1,0,positive
rate,false,No,1,0,positive
steadi,false,No,1,0,positive
profit,false,No,1,0,positive
make,false,No,1,0,positive
monei,false,No,1,0,positive
internet,false,No,1,0,positive
busi,false,No,1,0,positive
help,false,No,0,0,positive
offer,false,No,0,1,positive
servic,false,No,0,1,positive
free,false,No,0,1,positive
will,false,No,0,0,positive
rise,false,No,0,0,positive
project,false,No,0,0,positive
percent,false,No,0,0,positive
averag,false,No,0,0,positive
child,false,No,0,0,positive
recov,false,No,0,1,positive
hundr,false,No,0,1,positive
million,false,No,0,1,positive
dollar,false,No,0,1,positive
will,false,No,1,0,positive
welcom,false,No,1,0,positive
relief,false,No,1,0,positive
cent,false,No,0,2,positive
hour,false,No,0,2,positive
increas,false,No,0,2,positive
will,false,No,0,2,positive
have,false,No,0,2,positive
littl,false,No,0,2,positive
short,false,No,0,2,positive
term,false,No,0,2,positive
impact,false,No,0,2,positive
rose,false,No,0,0,positive
held,false,No,1,0,positive
interest,false,No,1,0,positive
rate,false,No,1,0,positive
steadi,false,No,1,0,positive
held,false,No,1,0,positive
interest,false,No,1,0,positive
rate,false,No,1,0,positive
steadi,false,No,1,0,positive
stock,true,No,0,0,positive
price,true,No,0,0,positive
rose,true,No,0,0,positive
after,true,No,0,0,positive
announc,true,No,0,0,positive
rose,false,No,0,0,positive
close,false,No,0,0,positive
mostli,false,No,0,0,positive
higher,false,No,0,0,positive
clear,false,No,0,0,positive
hurdl,false,No,0,0,positive
approv,false,No,0,0,positive
campaign,false,No,0,0,positive
among,false,No,0,0,positive
veteran,false,No,0,0,positive
