Unigrams,Adjective1,Adjective2,Adjective3,Class
seized,former,more,civil,neutral
more,former,more,civil,neutral
than,former,more,civil,neutral
million,former,more,civil,neutral
cash,former,more,civil,neutral
arrest,former,more,civil,neutral
civil,former,more,civil,neutral
servant,former,more,civil,neutral
central,central,himach,futurist,neutral
bureau,central,himach,futurist,neutral
investigation,central,himach,futurist,neutral
said,central,himach,futurist,neutral
raided,central,himach,futurist,neutral
thursday,central,himach,futurist,neutral
home,central,himach,futurist,neutral
mahendra,central,himach,futurist,neutral
nahata,central,himach,futurist,neutral
chairman,central,himach,futurist,neutral
himachal,central,himach,futurist,neutral
futuristic,central,himach,futurist,neutral
communications,central,himach,futurist,neutral
hfcl,central,himach,futurist,neutral
little,central,himach,futurist,neutral
known,central,himach,futurist,neutral
firm,central,himach,futurist,neutral
that,central,himach,futurist,neutral
lucrative,central,himach,futurist,neutral
licences,central,himach,futurist,neutral
earlier,central,himach,futurist,neutral
this,central,himach,futurist,neutral
year,central,himach,futurist,neutral
searches,NA,NA,NA,neutral
were,NA,NA,NA,neutral
conducted,NA,NA,NA,neutral
home,NA,NA,NA,neutral
spokesman,NA,NA,NA,neutral
khan,NA,NA,NA,neutral
told,NA,NA,NA,neutral
reuters,NA,NA,NA,neutral
some,NA,NA,NA,neutral
documents,NA,NA,NA,neutral
were,NA,NA,NA,neutral
seized,NA,NA,NA,neutral
being,NA,NA,NA,neutral
scrutinised,NA,NA,NA,neutral
imperial,imperi,conglomer,effici,neutral
tobacco,imperi,conglomer,effici,neutral
group,imperi,conglomer,effici,neutral
will,imperi,conglomer,effici,neutral
split,imperi,conglomer,effici,neutral
from,imperi,conglomer,effici,neutral
conglomerate,imperi,conglomer,effici,neutral
hanson,imperi,conglomer,effici,neutral
most,imperi,conglomer,effici,neutral
efficient,imperi,conglomer,effici,neutral
players,imperi,conglomer,effici,neutral
sector,imperi,conglomer,effici,neutral
while,imperi,conglomer,effici,neutral
chief,imperi,conglomer,effici,neutral
talks,imperi,conglomer,effici,neutral
export,imperi,conglomer,effici,neutral
growth,imperi,conglomer,effici,neutral
outlook,imperi,conglomer,effici,neutral
clouded,imperi,conglomer,effici,neutral
threat,imperi,conglomer,effici,neutral
litigation,imperi,conglomer,effici,neutral
against,imperi,conglomer,effici,neutral
tobacco,imperi,conglomer,effici,neutral
firms,imperi,conglomer,effici,neutral
tobacco,imperi,NA,NA,neutral
litigation,imperi,NA,NA,neutral
fears,imperi,NA,NA,neutral
cloud,imperi,NA,NA,neutral
imperial,imperi,NA,NA,neutral
flotation,imperi,NA,NA,neutral
next,next,big,britain,neutral
target,next,big,britain,neutral
ftse,next,big,britain,neutral
index,next,big,britain,neutral
britains,next,big,britain,neutral
leading,next,big,britain,neutral
companies,next,big,britain,neutral
comes,next,big,britain,neutral
into,next,big,britain,neutral
view,next,big,britain,neutral
market,next,big,britain,neutral
strategists,next,big,britain,neutral
were,next,big,britain,neutral
questioning,next,big,britain,neutral
whether,next,big,britain,neutral
surge,next,big,britain,neutral
sustainable,next,big,britain,neutral
latest,latest,monetari,NA,neutral
push,latest,monetari,NA,neutral
shares,latest,monetari,NA,neutral
came,latest,monetari,NA,neutral
thursday,latest,monetari,NA,neutral
from,latest,monetari,NA,neutral
interest,latest,monetari,NA,neutral
rate,latest,monetari,NA,neutral
cuts,latest,monetari,NA,neutral
across,latest,monetari,NA,neutral
europe,latest,monetari,NA,neutral
wake,latest,monetari,NA,neutral
easing,latest,monetari,NA,neutral
monetary,latest,monetari,NA,neutral
policy,latest,monetari,NA,neutral
germanys,latest,monetari,NA,neutral
bundesbank,latest,monetari,NA,neutral
dollar,european,NA,NA,neutral
marks,european,NA,NA,neutral
half,european,NA,NA,neutral
pfennig,european,NA,NA,neutral
thursdays,european,NA,NA,neutral
european,european,NA,NA,neutral
close,european,NA,NA,neutral
little,NA,NA,NA,neutral
changed,NA,NA,NA,neutral
against,NA,NA,NA,neutral
thursdays,NA,NA,NA,neutral
with,NA,NA,NA,neutral
focus,NA,NA,NA,neutral
firmly,NA,NA,NA,neutral
dollar,NA,NA,NA,neutral
mark,NA,NA,NA,neutral
plans,fast,convent,other,neutral
offer,fast,convent,other,neutral
fast,fast,convent,other,neutral
access,fast,convent,other,neutral
internet,fast,convent,other,neutral
conventional,fast,convent,other,neutral
sets,fast,convent,other,neutral
fitted,fast,convent,other,neutral
with,fast,convent,other,neutral
decoder,fast,convent,other,neutral
come,fast,convent,other,neutral
addition,fast,convent,other,neutral
home,fast,convent,other,neutral
banking,fast,convent,other,neutral
home,fast,convent,other,neutral
shopping,fast,convent,other,neutral
other,fast,convent,other,neutral
interactive,fast,convent,other,neutral
services,fast,convent,other,neutral
reports,fast,convent,other,neutral
said,fast,convent,other,neutral
services,digit,financi,NA,neutral
will,digit,financi,NA,neutral
offered,digit,financi,NA,neutral
when,digit,financi,NA,neutral
bskyb,digit,financi,NA,neutral
introduces,digit,financi,NA,neutral
digital,digit,financi,NA,neutral
satellite,digit,financi,NA,neutral
television,digit,financi,NA,neutral
service,digit,financi,NA,neutral
according,digit,financi,NA,neutral
financial,digit,financi,NA,neutral
times,digit,financi,NA,neutral
friday,digit,financi,NA,neutral
zimbabwe,zimbabw,civil,NA,neutral
civil,zimbabw,civil,NA,neutral
servants,zimbabw,civil,NA,neutral
press,zimbabw,civil,NA,neutral
ahead,zimbabw,civil,NA,neutral
with,zimbabw,civil,NA,neutral
strike,zimbabw,civil,NA,neutral
thousands,junior,strong,public,neutral
including,junior,strong,public,neutral
junior,junior,strong,public,neutral
state,junior,strong,public,neutral
doctors,junior,strong,public,neutral
nurses,junior,strong,public,neutral
magistrates,junior,strong,public,neutral
mortuary,junior,strong,public,neutral
attendants,junior,strong,public,neutral
emboldened,junior,strong,public,neutral
strong,junior,strong,public,neutral
public,junior,strong,public,neutral
support,junior,strong,public,neutral
said,junior,strong,public,neutral
they,junior,strong,public,neutral
would,junior,strong,public,neutral
remain,junior,strong,public,neutral
streets,junior,strong,public,neutral
until,junior,strong,public,neutral
their,junior,strong,public,neutral
demands,junior,strong,public,neutral
wage,junior,strong,public,neutral
rises,junior,strong,public,neutral
between,junior,strong,public,neutral
percent,junior,strong,public,neutral
were,junior,strong,public,neutral
strike,rare,domin,NA,neutral
rare,rare,domin,NA,neutral
challenge,rare,domin,NA,neutral
president,rare,domin,NA,neutral
robert,rare,domin,NA,neutral
mugabe,rare,domin,NA,neutral
dominant,rare,domin,NA,neutral
ruling,rare,domin,NA,neutral
zanu,rare,domin,NA,neutral
party,rare,domin,NA,neutral
both,rare,domin,NA,neutral
power,rare,domin,NA,neutral
since,rare,domin,NA,neutral
some,senior,NA,NA,neutral
senior,senior,NA,NA,neutral
officials,senior,NA,NA,neutral
have,senior,NA,NA,neutral
broken,senior,NA,NA,neutral
ranks,senior,NA,NA,neutral
with,senior,NA,NA,neutral
government,senior,NA,NA,neutral
support,senior,NA,NA,neutral
workers,senior,NA,NA,neutral
others,NA,NA,NA,neutral
have,NA,NA,NA,neutral
insisted,NA,NA,NA,neutral
that,NA,NA,NA,neutral
government,NA,NA,NA,neutral
could,NA,NA,NA,neutral
afford,NA,NA,NA,neutral
back,NA,NA,NA,neutral
down,NA,NA,NA,neutral
upgrading,airborn,global,overal,neutral
airborne,airborn,global,overal,neutral
activities,airborn,global,overal,neutral
france,airborn,global,overal,neutral
forms,airborn,global,overal,neutral
part,airborn,global,overal,neutral
global,airborn,global,overal,neutral
strategy,airborn,global,overal,neutral
meet,airborn,global,overal,neutral
demands,airborn,global,overal,neutral
overall,airborn,global,overal,neutral
growth,airborn,global,overal,neutral
about,airborn,global,overal,neutral
percent,airborn,global,overal,neutral
annually,airborn,global,overal,neutral
international,airborn,global,overal,neutral
traffic,airborn,global,overal,neutral
recent,airborn,global,overal,neutral
years,airborn,global,overal,neutral
start,french,NA,NA,neutral
five,french,NA,NA,neutral
french,french,NA,NA,neutral
feeder,french,NA,NA,neutral
flights,french,NA,NA,neutral
united,weekdai,NA,NA,neutral
parcel,weekdai,NA,NA,neutral
service,weekdai,NA,NA,neutral
america,weekdai,NA,NA,neutral
said,weekdai,NA,NA,neutral
will,weekdai,NA,NA,neutral
launch,weekdai,NA,NA,neutral
five,weekdai,NA,NA,neutral
weekday,weekdai,NA,NA,neutral
feeder,weekdai,NA,NA,neutral
flights,weekdai,NA,NA,neutral
france,weekdai,NA,NA,neutral
from,weekdai,NA,NA,neutral
september,weekdai,NA,NA,neutral
flights,gaull,other,bordeaux,neutral
will,gaull,other,bordeaux,neutral
operate,gaull,other,bordeaux,neutral
between,gaull,other,bordeaux,neutral
french,gaull,other,bordeaux,neutral
paris,gaull,other,bordeaux,neutral
charles,gaull,other,bordeaux,neutral
gaulle,gaull,other,bordeaux,neutral
airport,gaull,other,bordeaux,neutral
nantes,gaull,other,bordeaux,neutral
strasbourg,gaull,other,bordeaux,neutral
while,gaull,other,bordeaux,neutral
other,gaull,other,bordeaux,neutral
three,gaull,other,bordeaux,neutral
will,gaull,other,bordeaux,neutral
operate,gaull,other,bordeaux,neutral
between,gaull,other,bordeaux,neutral
lyon,gaull,other,bordeaux,neutral
satolas,gaull,other,bordeaux,neutral
airport,gaull,other,bordeaux,neutral
bordeaux,gaull,other,bordeaux,neutral
toulouse,gaull,other,bordeaux,neutral
nice,gaull,other,bordeaux,neutral
international,gaull,other,bordeaux,neutral
engineering,gaull,other,bordeaux,neutral
manager,gaull,other,bordeaux,neutral
france,gaull,other,bordeaux,neutral
owen,gaull,other,bordeaux,neutral
phillips,gaull,other,bordeaux,neutral
told,gaull,other,bordeaux,neutral
reuters,gaull,other,bordeaux,neutral
five,tonn,new,NA,neutral
tonne,tonn,new,NA,neutral
cargo,tonn,new,NA,neutral
capacity,tonn,new,NA,neutral
beechcraft,tonn,new,NA,neutral
aircraft,tonn,new,NA,neutral
will,tonn,new,NA,neutral
operate,tonn,new,NA,neutral
feeder,tonn,new,NA,neutral
routes,tonn,new,NA,neutral
phillips,tonn,new,NA,neutral
said,tonn,new,NA,neutral
aircraft,french,prepar,NA,neutral
being,french,prepar,NA,neutral
leased,french,prepar,NA,neutral
from,french,prepar,NA,neutral
french,french,prepar,NA,neutral
airline,french,prepar,NA,neutral
whose,french,prepar,NA,neutral
identity,french,prepar,NA,neutral
prepared,french,prepar,NA,neutral
disclose,french,prepar,NA,neutral
added,french,prepar,NA,neutral
colorado,NA,NA,NA,neutral
mine,NA,NA,NA,neutral
superfund,NA,NA,NA,neutral
site,NA,NA,NA,neutral
most,most,NA,NA,neutral
people,most,NA,NA,neutral
paid,most,NA,NA,neutral
what,most,NA,NA,neutral
going,most,NA,NA,neutral
early,most,NA,NA,neutral
floor,most,NA,NA,neutral
trader,most,NA,NA,neutral
said,most,NA,NA,neutral
office,u,eastern,NA,neutral
clerk,u,eastern,NA,neutral
courts,u,eastern,NA,neutral
district,u,eastern,NA,neutral
court,u,eastern,NA,neutral
eastern,u,eastern,NA,neutral
district,u,eastern,NA,neutral
virginia,u,eastern,NA,neutral
normally,u,eastern,NA,neutral
closes,u,eastern,NA,neutral
judges,NA,NA,NA,neutral
have,NA,NA,NA,neutral
authority,NA,NA,NA,neutral
order,NA,NA,NA,neutral
clerks,NA,NA,NA,neutral
stay,NA,NA,NA,neutral
await,NA,NA,NA,neutral
decision,NA,NA,NA,neutral
action,lloyd,late,NA,neutral
lloyds,lloyd,late,NA,neutral
ruling,lloyd,late,NA,neutral
late,lloyd,late,NA,neutral
friday,lloyd,late,NA,neutral
district,u,regular,strap,neutral
court,u,regular,strap,neutral
judge,u,regular,strap,neutral
announced,u,regular,strap,neutral
regular,u,regular,strap,neutral
close,u,regular,strap,neutral
business,u,regular,strap,neutral
friday,u,regular,strap,neutral
whether,u,regular,strap,neutral
would,u,regular,strap,neutral
issue,u,regular,strap,neutral
injunction,u,regular,strap,neutral
blocking,u,regular,strap,neutral
reorganization,u,regular,strap,neutral
plan,u,regular,strap,neutral
financially,u,regular,strap,neutral
strapped,u,regular,strap,neutral
insurance,u,regular,strap,neutral
market,u,regular,strap,neutral
lloyds,u,regular,strap,neutral
london,u,regular,strap,neutral
indictment,premium,top,thenen,neutral
alleged,premium,top,thenen,neutral
that,premium,top,thenen,neutral
three,premium,top,thenen,neutral
premiums,premium,top,thenen,neutral
officers,premium,top,thenen,neutral
kenneth,premium,top,thenen,neutral
thenen,premium,top,thenen,neutral
scott,premium,top,thenen,neutral
thenen,premium,top,thenen,neutral
daniel,premium,top,thenen,neutral
morris,premium,top,thenen,neutral
headed,premium,top,thenen,neutral
massive,premium,top,thenen,neutral
fraud,premium,top,thenen,neutral
scheme,premium,top,thenen,neutral
that,premium,top,thenen,neutral
bilked,premium,top,thenen,neutral
investors,premium,top,thenen,neutral
hundreds,premium,top,thenen,neutral
millions,premium,top,thenen,neutral
dollars,premium,top,thenen,neutral
used,premium,top,thenen,neutral
money,premium,top,thenen,neutral
fund,premium,top,thenen,neutral
lavish,premium,top,thenen,neutral
lifestyles,premium,top,thenen,neutral
that,premium,top,thenen,neutral
included,premium,top,thenen,neutral
luxury,premium,top,thenen,neutral
homes,premium,top,thenen,neutral
lear,premium,top,thenen,neutral
jets,premium,top,thenen,neutral
racing,premium,top,thenen,neutral
boats,premium,top,thenen,neutral
jewelry,premium,top,thenen,neutral
yeltsin,NA,NA,NA,neutral
blesses,NA,NA,NA,neutral
lebed,NA,NA,NA,neutral
chechnya,NA,NA,NA,neutral
peace,NA,NA,NA,neutral
russian,last,public,polit,neutral
security,last,public,polit,neutral
chief,last,public,polit,neutral
alexander,last,public,polit,neutral
lebed,last,public,polit,neutral
pressed,last,public,polit,neutral
with,last,public,polit,neutral
plan,last,public,polit,neutral
bring,last,public,polit,neutral
peace,last,public,polit,neutral
chechnya,last,public,polit,neutral
friday,last,public,polit,neutral
armed,last,public,polit,neutral
last,last,public,polit,neutral
with,last,public,polit,neutral
public,last,public,polit,neutral
blessing,last,public,polit,neutral
president,last,public,polit,neutral
boris,last,public,polit,neutral
yeltsin,last,public,polit,neutral
permission,last,public,polit,neutral
seek,last,public,polit,neutral
political,last,public,polit,neutral
solution,last,public,polit,neutral
itar,lebe,brief,former,neutral
tass,lebe,brief,former,neutral
news,lebe,brief,former,neutral
agency,lebe,brief,former,neutral
reported,lebe,brief,former,neutral
that,lebe,brief,former,neutral
lebed,lebe,brief,former,neutral
briefed,lebe,brief,former,neutral
yeltsin,lebe,brief,former,neutral
late,lebe,brief,former,neutral
friday,lebe,brief,former,neutral
president,lebe,brief,former,neutral
gave,lebe,brief,former,neutral
former,lebe,brief,former,neutral
paratroop,lebe,brief,former,neutral
general,lebe,brief,former,neutral
approval,lebe,brief,former,neutral
seek,lebe,brief,former,neutral
political,lebe,brief,former,neutral
solution,lebe,brief,former,neutral
talks,lebe,brief,former,neutral
with,lebe,brief,former,neutral
leaders,lebe,brief,former,neutral
chechen,lebe,brief,former,neutral
separatist,lebe,brief,former,neutral
guerrillas,lebe,brief,former,neutral
president,teen,white,NA,neutral
bill,teen,white,NA,neutral
clinton,teen,white,NA,neutral
endorsing,teen,white,NA,neutral
plan,teen,white,NA,neutral
broadening,teen,white,NA,neutral
food,teen,white,NA,neutral
drug,teen,white,NA,neutral
administrations,teen,white,NA,neutral
powers,teen,white,NA,neutral
approved,teen,white,NA,neutral
rules,teen,white,NA,neutral
curb,teen,white,NA,neutral
teen,teen,white,NA,neutral
smoking,teen,white,NA,neutral
restricting,teen,white,NA,neutral
sale,teen,white,NA,neutral
advertising,teen,white,NA,neutral
tobacco,teen,white,NA,neutral
white,teen,white,NA,neutral
house,teen,white,NA,neutral
said,teen,white,NA,neutral
friday,teen,white,NA,neutral
against,controversi,stringent,last,neutral
backdrop,controversi,stringent,last,neutral
election,controversi,stringent,last,neutral
year,controversi,stringent,last,neutral
politics,controversi,stringent,last,neutral
clinton,controversi,stringent,last,neutral
publicly,controversi,stringent,last,neutral
embraced,controversi,stringent,last,neutral
controversial,controversi,stringent,last,neutral
plan,controversi,stringent,last,neutral
that,controversi,stringent,last,neutral
been,controversi,stringent,last,neutral
softened,controversi,stringent,last,neutral
from,controversi,stringent,last,neutral
more,controversi,stringent,last,neutral
stringent,controversi,stringent,last,neutral
approach,controversi,stringent,last,neutral
unveiled,controversi,stringent,last,neutral
last,controversi,stringent,last,neutral
august,controversi,stringent,last,neutral
president,intern,white,NA,neutral
accepted,intern,white,NA,neutral
authorized,intern,white,NA,neutral
action,intern,white,NA,neutral
after,intern,white,NA,neutral
internal,intern,white,NA,neutral
administration,intern,white,NA,neutral
review,intern,white,NA,neutral
white,intern,white,NA,neutral
house,intern,white,NA,neutral
press,intern,white,NA,neutral
secretary,intern,white,NA,neutral
mike,intern,white,NA,neutral
mccurry,intern,white,NA,neutral
said,intern,white,NA,neutral
restrictions,young,NA,NA,neutral
include,young,NA,NA,neutral
limiting,young,NA,NA,neutral
vending,young,NA,NA,neutral
machine,young,NA,NA,neutral
sales,young,NA,NA,neutral
curbing,young,NA,NA,neutral
advertising,young,NA,NA,neutral
aimed,young,NA,NA,neutral
young,young,NA,NA,neutral
people,young,NA,NA,neutral
mccurry,smokeless,NA,NA,neutral
said,smokeless,NA,NA,neutral
clinton,smokeless,NA,NA,neutral
essence,smokeless,NA,NA,neutral
accepted,smokeless,NA,NA,neutral
that,smokeless,NA,NA,neutral
cigarettes,smokeless,NA,NA,neutral
smokeless,smokeless,NA,NA,neutral
tobacco,smokeless,NA,NA,neutral
delivery,smokeless,NA,NA,neutral
devices,smokeless,NA,NA,neutral
nicotine,smokeless,NA,NA,neutral
which,smokeless,NA,NA,neutral
administration,smokeless,NA,NA,neutral
believes,smokeless,NA,NA,neutral
qualifies,smokeless,NA,NA,neutral
them,smokeless,NA,NA,neutral
fall,smokeless,NA,NA,neutral
under,smokeless,NA,NA,neutral
authority,smokeless,NA,NA,neutral
clinton,teen,NA,NA,neutral
approves,teen,NA,NA,neutral
curbs,teen,NA,NA,neutral
teen,teen,NA,NA,neutral
smoking,teen,NA,NA,neutral
here,major,NA,NA,neutral
major,major,NA,NA,neutral
stock,major,NA,NA,neutral
markets,major,NA,NA,neutral
outside,major,NA,NA,neutral
united,major,NA,NA,neutral
states,major,NA,NA,neutral
ended,major,NA,NA,neutral
friday,major,NA,NA,neutral
frankfurt,unchang,weaker,softer,neutral
stocks,unchang,weaker,softer,neutral
ended,unchang,weaker,softer,neutral
almost,unchang,weaker,softer,neutral
unchanged,unchang,weaker,softer,neutral
weaker,unchang,weaker,softer,neutral
dollar,unchang,weaker,softer,neutral
softer,unchang,weaker,softer,neutral
german,unchang,weaker,softer,neutral
bonds,unchang,weaker,softer,neutral
weighed,unchang,weaker,softer,neutral
trading,unchang,weaker,softer,neutral
sentiment,unchang,weaker,softer,neutral
czech,czech,central,NA,neutral
central,czech,central,NA,neutral
bank,czech,central,NA,neutral
committed,czech,central,NA,neutral
crown,czech,central,NA,neutral
band,czech,central,NA,neutral
czech,czech,nation,central,neutral
national,czech,nation,central,neutral
bank,czech,nation,central,neutral
governor,czech,nation,central,neutral
josef,czech,nation,central,neutral
tosovsky,czech,nation,central,neutral
friday,czech,nation,central,neutral
said,czech,nation,central,neutral
central,czech,nation,central,neutral
bank,czech,nation,central,neutral
committed,czech,nation,central,neutral
keeping,czech,nation,central,neutral
crown,czech,nation,central,neutral
strong,czech,nation,central,neutral
despite,czech,nation,central,neutral
some,czech,nation,central,neutral
calls,czech,nation,central,neutral
depreciate,czech,nation,central,neutral
currency,czech,nation,central,neutral
help,czech,nation,central,neutral
exports,czech,nation,central,neutral
speaking,prime,top,central,neutral
after,prime,top,central,neutral
meeting,prime,top,central,neutral
with,prime,top,central,neutral
prime,prime,top,central,neutral
minister,prime,top,central,neutral
vaclav,prime,top,central,neutral
klaus,prime,top,central,neutral
business,prime,top,central,neutral
executives,prime,top,central,neutral
tosovsky,prime,top,central,neutral
said,prime,top,central,neutral
central,prime,top,central,neutral
bank,prime,top,central,neutral
would,prime,top,central,neutral
keep,prime,top,central,neutral
crown,prime,top,central,neutral
within,prime,top,central,neutral
current,prime,top,central,neutral
band,prime,top,central,neutral
against,prime,top,central,neutral
which,prime,top,central,neutral
fixes,prime,top,central,neutral
currency,prime,top,central,neutral
daily,prime,top,central,neutral
versus,prime,top,central,neutral
mark,prime,top,central,neutral
dollar,prime,top,central,neutral
basket,prime,top,central,neutral
said,NA,NA,NA,neutral
that,NA,NA,NA,neutral
will,NA,NA,NA,neutral
keep,NA,NA,NA,neutral
rate,NA,NA,NA,neutral
within,NA,NA,NA,neutral
plus,NA,NA,NA,neutral
minus,NA,NA,NA,neutral
percent,NA,NA,NA,neutral
band,NA,NA,NA,neutral
against,NA,NA,NA,neutral
mark,NA,NA,NA,neutral
dollar,NA,NA,NA,neutral
cross,NA,NA,NA,neutral
rate,NA,NA,NA,neutral
tosovsky,NA,NA,NA,neutral
told,NA,NA,NA,neutral
reporters,NA,NA,NA,neutral
dismissed,NA,NA,NA,neutral
speculation,NA,NA,NA,neutral
that,NA,NA,NA,neutral
would,NA,NA,NA,neutral
want,NA,NA,NA,neutral
move,NA,NA,NA,neutral
crown,NA,NA,NA,neutral
some,NA,NA,NA,neutral
outside,NA,NA,NA,neutral
band,NA,NA,NA,neutral
added,NA,NA,NA,neutral
german,NA,NA,NA,neutral
stocks,NA,NA,NA,neutral
close,NA,NA,NA,neutral
steady,NA,NA,NA,neutral
before,NA,NA,NA,neutral
weekend,NA,NA,NA,neutral
german,unchang,weaker,softer,neutral
equities,unchang,weaker,softer,neutral
ended,unchang,weaker,softer,neutral
friday,unchang,weaker,softer,neutral
almost,unchang,weaker,softer,neutral
unchanged,unchang,weaker,softer,neutral
from,unchang,weaker,softer,neutral
closing,unchang,weaker,softer,neutral
levels,unchang,weaker,softer,neutral
thursday,unchang,weaker,softer,neutral
weaker,unchang,weaker,softer,neutral
dollar,unchang,weaker,softer,neutral
softer,unchang,weaker,softer,neutral
german,unchang,weaker,softer,neutral
bonds,unchang,weaker,softer,neutral
weighed,unchang,weaker,softer,neutral
trading,unchang,weaker,softer,neutral
sentiment,unchang,weaker,softer,neutral
sentiment,warmer,NA,NA,neutral
definitely,warmer,NA,NA,neutral
warmer,warmer,NA,NA,neutral
after,warmer,NA,NA,neutral
repo,warmer,NA,NA,neutral
were,NA,NA,NA,neutral
really,NA,NA,NA,neutral
going,NA,NA,NA,neutral
kind,NA,NA,NA,neutral
trend,NA,NA,NA,neutral
until,NA,NA,NA,neutral
monday,NA,NA,NA,neutral
said,NA,NA,NA,neutral
frankfurt,NA,NA,NA,neutral
trader,NA,NA,NA,neutral
ministry,other,NA,NA,neutral
said,other,NA,NA,neutral
britain,other,NA,NA,neutral
always,other,NA,NA,neutral
obligation,other,NA,NA,neutral
send,other,NA,NA,neutral
other,other,NA,NA,neutral
countries,other,NA,NA,neutral
calves,other,NA,NA,neutral
cows,other,NA,NA,neutral
which,other,NA,NA,neutral
known,other,NA,NA,neutral
suspected,other,NA,NA,neutral
britain,bse,NA,NA,neutral
says,bse,NA,NA,neutral
complied,bse,NA,NA,neutral
with,bse,NA,NA,neutral
europes,bse,NA,NA,neutral
checks,bse,NA,NA,neutral
britain,european,mad,NA,neutral
friday,european,mad,NA,neutral
denied,european,mad,NA,neutral
report,european,mad,NA,neutral
that,european,mad,NA,neutral
secretly,european,mad,NA,neutral
avoided,european,mad,NA,neutral
implementing,european,mad,NA,neutral
european,european,mad,NA,neutral
union,european,mad,NA,neutral
rules,european,mad,NA,neutral
stop,european,mad,NA,neutral
disease,european,mad,NA,neutral
spreading,european,mad,NA,neutral
continent,european,mad,NA,neutral
guardian,adequ,bovin,mad,neutral
newspaper,adequ,bovin,mad,neutral
said,adequ,bovin,mad,neutral
almost,adequ,bovin,mad,neutral
million,adequ,bovin,mad,neutral
cattle,adequ,bovin,mad,neutral
were,adequ,bovin,mad,neutral
sold,adequ,bovin,mad,neutral
britains,adequ,bovin,mad,neutral
partners,adequ,bovin,mad,neutral
without,adequ,bovin,mad,neutral
adequate,adequ,bovin,mad,neutral
controls,adequ,bovin,mad,neutral
they,adequ,bovin,mad,neutral
been,adequ,bovin,mad,neutral
born,adequ,bovin,mad,neutral
cows,adequ,bovin,mad,neutral
infected,adequ,bovin,mad,neutral
with,adequ,bovin,mad,neutral
