Unigrams,Negation,Contrast,Positive entities,Negative entities,Class
imperi,false,Yes,1,1,neutral
tobacco,false,Yes,1,1,neutral
group,false,Yes,1,1,neutral
will,false,Yes,1,1,neutral
split,false,Yes,1,1,neutral
from,false,Yes,1,1,neutral
conglomer,false,Yes,1,1,neutral
hanson,false,Yes,1,1,neutral
most,false,Yes,1,1,neutral
effici,false,Yes,1,1,neutral
player,false,Yes,1,1,neutral
sector,false,Yes,1,1,neutral
while,false,Yes,1,1,neutral
chief,false,Yes,1,1,neutral
talk,false,Yes,1,1,neutral
export,false,Yes,1,1,neutral
growth,false,Yes,1,1,neutral
outlook,false,Yes,1,1,neutral
cloud,false,Yes,1,1,neutral
threat,false,Yes,1,1,neutral
litig,false,Yes,1,1,neutral
against,false,Yes,1,1,neutral
tobacco,false,Yes,1,1,neutral
firm,false,Yes,1,1,neutral
tobacco,false,No,0,1,neutral
litig,false,No,0,1,neutral
fear,false,No,0,1,neutral
cloud,false,No,0,1,neutral
imperi,false,No,0,1,neutral
flotat,false,No,0,1,neutral
next,false,Yes,1,1,neutral
target,false,Yes,1,1,neutral
ftse,false,Yes,1,1,neutral
index,false,Yes,1,1,neutral
britain,false,Yes,1,1,neutral
lead,false,Yes,1,1,neutral
compani,false,Yes,1,1,neutral
come,false,Yes,1,1,neutral
into,false,Yes,1,1,neutral
view,false,Yes,1,1,neutral
market,false,Yes,1,1,neutral
strategist,false,Yes,1,1,neutral
were,false,Yes,1,1,neutral
question,false,Yes,1,1,neutral
whether,false,Yes,1,1,neutral
surg,false,Yes,1,1,neutral
sustain,false,Yes,1,1,neutral
latest,false,No,0,0,neutral
push,false,No,0,0,neutral
share,false,No,0,0,neutral
came,false,No,0,0,neutral
thursdai,false,No,0,0,neutral
from,false,No,0,0,neutral
interest,false,No,0,0,neutral
rate,false,No,0,0,neutral
across,false,No,0,0,neutral
europ,false,No,0,0,neutral
wake,false,No,0,0,neutral
monetari,false,No,0,0,neutral
polici,false,No,0,0,neutral
germani,false,No,0,0,neutral
bundesbank,false,No,0,0,neutral
dollar,false,No,0,0,neutral
mark,false,No,0,0,neutral
half,false,No,0,0,neutral
pfennig,false,No,0,0,neutral
thursdai,false,No,0,0,neutral
european,false,No,0,0,neutral
close,false,No,0,0,neutral
littl,false,No,1,1,neutral
chang,false,No,1,1,neutral
against,false,No,1,1,neutral
thursdai,false,No,1,1,neutral
with,false,No,1,1,neutral
focu,false,No,1,1,neutral
firmli,false,No,1,1,neutral
dollar,false,No,1,1,neutral
mark,false,No,1,1,neutral
plan,false,No,0,1,neutral
offer,false,No,0,1,neutral
fast,false,No,0,1,neutral
access,false,No,0,1,neutral
internet,false,No,0,1,neutral
convent,false,No,0,1,neutral
with,false,No,0,1,neutral
decod,false,No,0,1,neutral
come,false,No,0,1,neutral
addit,false,No,0,1,neutral
home,false,No,0,1,neutral
bank,false,No,0,1,neutral
home,false,No,0,1,neutral
shop,false,No,0,1,neutral
other,false,No,0,1,neutral
interact,false,No,0,1,neutral
servic,false,No,0,1,neutral
report,false,No,0,1,neutral
said,false,No,0,1,neutral
servic,false,No,1,0,neutral
will,false,No,1,0,neutral
offer,false,No,1,0,neutral
when,false,No,1,0,neutral
bskyb,false,No,1,0,neutral
introduc,false,No,1,0,neutral
digit,false,No,1,0,neutral
satellit,false,No,1,0,neutral
televis,false,No,1,0,neutral
servic,false,No,1,0,neutral
accord,false,No,1,0,neutral
financi,false,No,1,0,neutral
time,false,No,1,0,neutral
fridai,false,No,1,0,neutral
thousand,false,No,0,2,neutral
includ,false,No,0,2,neutral
junior,false,No,0,2,neutral
state,false,No,0,2,neutral
doctor,false,No,0,2,neutral
nurs,false,No,0,2,neutral
magistr,false,No,0,2,neutral
mortuari,false,No,0,2,neutral
attend,false,No,0,2,neutral
embolden,false,No,0,2,neutral
strong,false,No,0,2,neutral
public,false,No,0,2,neutral
support,false,No,0,2,neutral
said,false,No,0,2,neutral
thei,false,No,0,2,neutral
would,false,No,0,2,neutral
remain,false,No,0,2,neutral
street,false,No,0,2,neutral
until,false,No,0,2,neutral
their,false,No,0,2,neutral
demand,false,No,0,2,neutral
wage,false,No,0,2,neutral
rise,false,No,0,2,neutral
between,false,No,0,2,neutral
percent,false,No,0,2,neutral
were,false,No,0,2,neutral
strike,false,No,0,2,neutral
rare,false,No,0,2,neutral
challeng,false,No,0,2,neutral
presid,false,No,0,2,neutral
robert,false,No,0,2,neutral
mugab,false,No,0,2,neutral
domin,false,No,0,2,neutral
rule,false,No,0,2,neutral
zanu,false,No,0,2,neutral
parti,false,No,0,2,neutral
both,false,No,0,2,neutral
power,false,No,0,2,neutral
sinc,false,No,0,2,neutral
some,false,No,1,0,neutral
senior,false,No,1,0,neutral
offici,false,No,1,0,neutral
have,false,No,1,0,neutral
broken,false,No,1,0,neutral
rank,false,No,1,0,neutral
with,false,No,1,0,neutral
govern,false,No,1,0,neutral
support,false,No,1,0,neutral
worker,false,No,1,0,neutral
other,true,No,0,0,neutral
have,true,No,0,0,neutral
insist,true,No,0,0,neutral
that,true,No,0,0,neutral
govern,true,No,0,0,neutral
could,true,No,0,0,neutral
afford,true,No,0,0,neutral
back,true,No,0,0,neutral
down,true,No,0,0,neutral
upgrad,false,No,0,3,neutral
airborn,false,No,0,3,neutral
activ,false,No,0,3,neutral
franc,false,No,0,3,neutral
form,false,No,0,3,neutral
part,false,No,0,3,neutral
global,false,No,0,3,neutral
strategi,false,No,0,3,neutral
meet,false,No,0,3,neutral
demand,false,No,0,3,neutral
overal,false,No,0,3,neutral
growth,false,No,0,3,neutral
about,false,No,0,3,neutral
percent,false,No,0,3,neutral
annual,false,No,0,3,neutral
intern,false,No,0,3,neutral
traffic,false,No,0,3,neutral
recent,false,No,0,3,neutral
year,false,No,0,3,neutral
start,false,No,0,1,neutral
five,false,No,0,1,neutral
french,false,No,0,1,neutral
feeder,false,No,0,1,neutral
flight,false,No,0,1,neutral
unit,false,No,0,0,neutral
parcel,false,No,0,0,neutral
servic,false,No,0,0,neutral
america,false,No,0,0,neutral
said,false,No,0,0,neutral
will,false,No,0,0,neutral
launch,false,No,0,0,neutral
five,false,No,0,0,neutral
weekdai,false,No,0,0,neutral
feeder,false,No,0,0,neutral
flight,false,No,0,0,neutral
franc,false,No,0,0,neutral
from,false,No,0,0,neutral
septemb,false,No,0,0,neutral
flight,false,No,1,2,neutral
will,false,No,1,2,neutral
oper,false,No,1,2,neutral
between,false,No,1,2,neutral
french,false,No,1,2,neutral
pari,false,No,1,2,neutral
charl,false,No,1,2,neutral
gaull,false,No,1,2,neutral
airport,false,No,1,2,neutral
nant,false,No,1,2,neutral
strasbourg,false,No,1,2,neutral
while,false,No,1,2,neutral
other,false,No,1,2,neutral
three,false,No,1,2,neutral
will,false,No,1,2,neutral
oper,false,No,1,2,neutral
between,false,No,1,2,neutral
lyon,false,No,1,2,neutral
satola,false,No,1,2,neutral
airport,false,No,1,2,neutral
bordeaux,false,No,1,2,neutral
toulous,false,No,1,2,neutral
nice,false,No,1,2,neutral
intern,false,No,1,2,neutral
engin,false,No,1,2,neutral
manag,false,No,1,2,neutral
franc,false,No,1,2,neutral
owen,false,No,1,2,neutral
phillip,false,No,1,2,neutral
told,false,No,1,2,neutral
reuter,false,No,1,2,neutral
five,false,No,0,0,neutral
tonn,false,No,0,0,neutral
cargo,false,No,0,0,neutral
capac,false,No,0,0,neutral
beechcraft,false,No,0,0,neutral
aircraft,false,No,0,0,neutral
will,false,No,0,0,neutral
oper,false,No,0,0,neutral
feeder,false,No,0,0,neutral
rout,false,No,0,0,neutral
phillip,false,No,0,0,neutral
said,false,No,0,0,neutral
aircraft,true,No,1,0,neutral
leas,true,No,1,0,neutral
from,true,No,1,0,neutral
french,true,No,1,0,neutral
airlin,true,No,1,0,neutral
whose,true,No,1,0,neutral
ident,true,No,1,0,neutral
prepar,true,No,1,0,neutral
disclos,true,No,1,0,neutral
colorado,true,No,0,3,neutral
attornei,true,No,0,3,neutral
gener,true,No,0,3,neutral
gale,true,No,0,3,neutral
norton,true,No,0,3,neutral
said,true,No,0,3,neutral
fridai,true,No,0,3,neutral
state,true,No,0,3,neutral
govern,true,No,0,3,neutral
have,true,No,0,3,neutral
financi,true,No,0,3,neutral
robert,true,No,0,3,neutral
friedland,true,No,0,3,neutral
former,true,No,0,3,neutral
presid,true,No,0,3,neutral
major,true,No,0,3,neutral
stockhold,true,No,0,3,neutral
galact,true,No,0,3,neutral
resourc,true,No,0,3,neutral
recov,true,No,0,3,neutral
cost,true,No,0,3,neutral
clean,true,No,0,3,neutral
galact,true,No,0,3,neutral
summitvil,true,No,0,3,neutral
gold,true,No,0,3,neutral
mine,true,No,0,3,neutral
colorado,true,No,0,0,neutral
mine,true,No,0,0,neutral
superfund,true,No,0,0,neutral
site,true,No,0,0,neutral
most,false,No,0,0,neutral
peopl,false,No,0,0,neutral
paid,false,No,0,0,neutral
what,false,No,0,0,neutral
earli,false,No,0,0,neutral
floor,false,No,0,0,neutral
trader,false,No,0,0,neutral
said,false,No,0,0,neutral
offic,true,No,0,0,neutral
clerk,true,No,0,0,neutral
court,true,No,0,0,neutral
district,true,No,0,0,neutral
court,true,No,0,0,neutral
eastern,true,No,0,0,neutral
district,true,No,0,0,neutral
virginia,true,No,0,0,neutral
normal,true,No,0,0,neutral
close,true,No,0,0,neutral
judg,false,Yes,0,3,neutral
have,false,Yes,0,3,neutral
author,false,Yes,0,3,neutral
order,false,Yes,0,3,neutral
clerk,false,Yes,0,3,neutral
stai,false,Yes,0,3,neutral
await,false,Yes,0,3,neutral
decis,false,Yes,0,3,neutral
district,true,No,0,0,neutral
court,true,No,0,0,neutral
judg,true,No,0,0,neutral
announc,true,No,0,0,neutral
regular,true,No,0,0,neutral
close,true,No,0,0,neutral
busi,true,No,0,0,neutral
fridai,true,No,0,0,neutral
whether,true,No,0,0,neutral
would,true,No,0,0,neutral
issu,true,No,0,0,neutral
injunct,true,No,0,0,neutral
block,true,No,0,0,neutral
reorgan,true,No,0,0,neutral
plan,true,No,0,0,neutral
financi,true,No,0,0,neutral
strap,true,No,0,0,neutral
insur,true,No,0,0,neutral
market,true,No,0,0,neutral
lloyd,true,No,0,0,neutral
london,true,No,0,0,neutral
indict,false,No,0,1,neutral
alleg,false,No,0,1,neutral
that,false,No,0,1,neutral
three,false,No,0,1,neutral
premium,false,No,0,1,neutral
offic,false,No,0,1,neutral
kenneth,false,No,0,1,neutral
thenen,false,No,0,1,neutral
scott,false,No,0,1,neutral
thenen,false,No,0,1,neutral
daniel,false,No,0,1,neutral
morri,false,No,0,1,neutral
head,false,No,0,1,neutral
massiv,false,No,0,1,neutral
fraud,false,No,0,1,neutral
scheme,false,No,0,1,neutral
that,false,No,0,1,neutral
bilk,false,No,0,1,neutral
investor,false,No,0,1,neutral
hundr,false,No,0,1,neutral
million,false,No,0,1,neutral
dollar,false,No,0,1,neutral
monei,false,No,0,1,neutral
fund,false,No,0,1,neutral
lavish,false,No,0,1,neutral
lifestyl,false,No,0,1,neutral
that,false,No,0,1,neutral
includ,false,No,0,1,neutral
luxuri,false,No,0,1,neutral
home,false,No,0,1,neutral
lear,false,No,0,1,neutral
race,false,No,0,1,neutral
boat,false,No,0,1,neutral
jewelri,false,No,0,1,neutral
russian,false,No,0,3,neutral
secur,false,No,0,3,neutral
chief,false,No,0,3,neutral
alexand,false,No,0,3,neutral
lebe,false,No,0,3,neutral
press,false,No,0,3,neutral
with,false,No,0,3,neutral
plan,false,No,0,3,neutral
bring,false,No,0,3,neutral
peac,false,No,0,3,neutral
chechnya,false,No,0,3,neutral
fridai,false,No,0,3,neutral
last,false,No,0,3,neutral
with,false,No,0,3,neutral
public,false,No,0,3,neutral
bless,false,No,0,3,neutral
presid,false,No,0,3,neutral
bori,false,No,0,3,neutral
yeltsin,false,No,0,3,neutral
permiss,false,No,0,3,neutral
seek,false,No,0,3,neutral
polit,false,No,0,3,neutral
solut,false,No,0,3,neutral
itar,false,No,0,3,neutral
tass,false,No,0,3,neutral
agenc,false,No,0,3,neutral
report,false,No,0,3,neutral
that,false,No,0,3,neutral
lebe,false,No,0,3,neutral
brief,false,No,0,3,neutral
yeltsin,false,No,0,3,neutral
late,false,No,0,3,neutral
fridai,false,No,0,3,neutral
presid,false,No,0,3,neutral
gave,false,No,0,3,neutral
former,false,No,0,3,neutral
paratroop,false,No,0,3,neutral
gener,false,No,0,3,neutral
approv,false,No,0,3,neutral
seek,false,No,0,3,neutral
polit,false,No,0,3,neutral
solut,false,No,0,3,neutral
talk,false,No,0,3,neutral
with,false,No,0,3,neutral
leader,false,No,0,3,neutral
chechen,false,No,0,3,neutral
separatist,false,No,0,3,neutral
guerrilla,false,No,0,3,neutral
presid,false,No,0,0,neutral
bill,false,No,0,0,neutral
clinton,false,No,0,0,neutral
endors,false,No,0,0,neutral
plan,false,No,0,0,neutral
broaden,false,No,0,0,neutral
food,false,No,0,0,neutral
drug,false,No,0,0,neutral
administr,false,No,0,0,neutral
power,false,No,0,0,neutral
approv,false,No,0,0,neutral
rule,false,No,0,0,neutral
curb,false,No,0,0,neutral
teen,false,No,0,0,neutral
smoke,false,No,0,0,neutral
restrict,false,No,0,0,neutral
sale,false,No,0,0,neutral
advertis,false,No,0,0,neutral
tobacco,false,No,0,0,neutral
white,false,No,0,0,neutral
hous,false,No,0,0,neutral
said,false,No,0,0,neutral
fridai,false,No,0,0,neutral
against,false,No,1,2,neutral
backdrop,false,No,1,2,neutral
elect,false,No,1,2,neutral
year,false,No,1,2,neutral
polit,false,No,1,2,neutral
clinton,false,No,1,2,neutral
publicli,false,No,1,2,neutral
embrac,false,No,1,2,neutral
controversi,false,No,1,2,neutral
plan,false,No,1,2,neutral
that,false,No,1,2,neutral
been,false,No,1,2,neutral
soften,false,No,1,2,neutral
from,false,No,1,2,neutral
more,false,No,1,2,neutral
stringent,false,No,1,2,neutral
approach,false,No,1,2,neutral
unveil,false,No,1,2,neutral
last,false,No,1,2,neutral
august,false,No,1,2,neutral
presid,false,No,0,0,neutral
accept,false,No,0,0,neutral
author,false,No,0,0,neutral
action,false,No,0,0,neutral
after,false,No,0,0,neutral
intern,false,No,0,0,neutral
administr,false,No,0,0,neutral
review,false,No,0,0,neutral
white,false,No,0,0,neutral
hous,false,No,0,0,neutral
press,false,No,0,0,neutral
secretari,false,No,0,0,neutral
mike,false,No,0,0,neutral
mccurri,false,No,0,0,neutral
said,false,No,0,0,neutral
restrict,false,No,0,0,neutral
includ,false,No,0,0,neutral
limit,false,No,0,0,neutral
vend,false,No,0,0,neutral
machin,false,No,0,0,neutral
sale,false,No,0,0,neutral
curb,false,No,0,0,neutral
advertis,false,No,0,0,neutral
young,false,No,0,0,neutral
peopl,false,No,0,0,neutral
mccurri,false,No,0,0,neutral
said,false,No,0,0,neutral
clinton,false,No,0,0,neutral
essenc,false,No,0,0,neutral
accept,false,No,0,0,neutral
that,false,No,0,0,neutral
cigarett,false,No,0,0,neutral
smokeless,false,No,0,0,neutral
tobacco,false,No,0,0,neutral
deliveri,false,No,0,0,neutral
devic,false,No,0,0,neutral
nicotin,false,No,0,0,neutral
which,false,No,0,0,neutral
administr,false,No,0,0,neutral
believ,false,No,0,0,neutral
qualifi,false,No,0,0,neutral
them,false,No,0,0,neutral
fall,false,No,0,0,neutral
under,false,No,0,0,neutral
author,false,No,0,0,neutral
clinton,false,No,0,0,neutral
approv,false,No,0,0,neutral
curb,false,No,0,0,neutral
teen,false,No,0,0,neutral
smoke,false,No,0,0,neutral
here,false,No,0,0,neutral
major,false,No,0,0,neutral
stock,false,No,0,0,neutral
market,false,No,0,0,neutral
outsid,false,No,0,0,neutral
unit,false,No,0,0,neutral
state,false,No,0,0,neutral
fridai,false,No,0,0,neutral
frankfurt,false,No,0,1,neutral
stock,false,No,0,1,neutral
almost,false,No,0,1,neutral
unchang,false,No,0,1,neutral
weaker,false,No,0,1,neutral
dollar,false,No,0,1,neutral
softer,false,No,0,1,neutral
german,false,No,0,1,neutral
bond,false,No,0,1,neutral
weigh,false,No,0,1,neutral
trade,false,No,0,1,neutral
sentiment,false,No,0,1,neutral
czech,false,No,0,0,neutral
central,false,No,0,0,neutral
bank,false,No,0,0,neutral
commit,false,No,0,0,neutral
crown,false,No,0,0,neutral
band,false,No,0,0,neutral
czech,true,No,0,1,neutral
nation,true,No,0,1,neutral
bank,true,No,0,1,neutral
governor,true,No,0,1,neutral
josef,true,No,0,1,neutral
tosovski,true,No,0,1,neutral
fridai,true,No,0,1,neutral
said,true,No,0,1,neutral
central,true,No,0,1,neutral
bank,true,No,0,1,neutral
commit,true,No,0,1,neutral
keep,true,No,0,1,neutral
crown,true,No,0,1,neutral
strong,true,No,0,1,neutral
despit,true,No,0,1,neutral
some,true,No,0,1,neutral
call,true,No,0,1,neutral
depreci,true,No,0,1,neutral
currenc,true,No,0,1,neutral
help,true,No,0,1,neutral
export,true,No,0,1,neutral
speak,false,No,0,2,neutral
after,false,No,0,2,neutral
meet,false,No,0,2,neutral
with,false,No,0,2,neutral
prime,false,No,0,2,neutral
minist,false,No,0,2,neutral
vaclav,false,No,0,2,neutral
klau,false,No,0,2,neutral
busi,false,No,0,2,neutral
execut,false,No,0,2,neutral
tosovski,false,No,0,2,neutral
said,false,No,0,2,neutral
central,false,No,0,2,neutral
bank,false,No,0,2,neutral
would,false,No,0,2,neutral
keep,false,No,0,2,neutral
crown,false,No,0,2,neutral
within,false,No,0,2,neutral
current,false,No,0,2,neutral
band,false,No,0,2,neutral
against,false,No,0,2,neutral
which,false,No,0,2,neutral
currenc,false,No,0,2,neutral
daili,false,No,0,2,neutral
versu,false,No,0,2,neutral
mark,false,No,0,2,neutral
dollar,false,No,0,2,neutral
basket,false,No,0,2,neutral
said,false,No,0,1,neutral
that,false,No,0,1,neutral
will,false,No,0,1,neutral
keep,false,No,0,1,neutral
rate,false,No,0,1,neutral
within,false,No,0,1,neutral
minu,false,No,0,1,neutral
percent,false,No,0,1,neutral
band,false,No,0,1,neutral
against,false,No,0,1,neutral
mark,false,No,0,1,neutral
dollar,false,No,0,1,neutral
cross,false,No,0,1,neutral
rate,false,No,0,1,neutral
tosovski,false,No,0,1,neutral
told,false,No,0,1,neutral
report,false,No,0,1,neutral
dismiss,false,No,0,0,neutral
specul,false,No,0,0,neutral
that,false,No,0,0,neutral
would,false,No,0,0,neutral
want,false,No,0,0,neutral
move,false,No,0,0,neutral
crown,false,No,0,0,neutral
some,false,No,0,0,neutral
outsid,false,No,0,0,neutral
band,false,No,0,0,neutral
german,false,No,1,0,neutral
stock,false,No,1,0,neutral
close,false,No,1,0,neutral
steadi,false,No,1,0,neutral
befor,false,No,1,0,neutral
weekend,false,No,1,0,neutral
german,false,No,0,1,neutral
equiti,false,No,0,1,neutral
fridai,false,No,0,1,neutral
almost,false,No,0,1,neutral
unchang,false,No,0,1,neutral
from,false,No,0,1,neutral
close,false,No,0,1,neutral
level,false,No,0,1,neutral
thursdai,false,No,0,1,neutral
weaker,false,No,0,1,neutral
dollar,false,No,0,1,neutral
softer,false,No,0,1,neutral
german,false,No,0,1,neutral
bond,false,No,0,1,neutral
weigh,false,No,0,1,neutral
trade,false,No,0,1,neutral
sentiment,false,No,0,1,neutral
sentiment,false,No,1,0,neutral
definit,false,No,1,0,neutral
warmer,false,No,1,0,neutral
after,false,No,1,0,neutral
repo,false,No,1,0,neutral
were,true,No,1,0,neutral
realli,true,No,1,0,neutral
kind,true,No,1,0,neutral
trend,true,No,1,0,neutral
until,true,No,1,0,neutral
mondai,true,No,1,0,neutral
said,true,No,1,0,neutral
frankfurt,true,No,1,0,neutral
trader,true,No,1,0,neutral
ministri,true,Yes,0,2,neutral
said,true,Yes,0,2,neutral
britain,true,Yes,0,2,neutral
alwai,true,Yes,0,2,neutral
oblig,true,Yes,0,2,neutral
send,true,Yes,0,2,neutral
other,true,Yes,0,2,neutral
countri,true,Yes,0,2,neutral
calv,true,Yes,0,2,neutral
which,true,Yes,0,2,neutral
known,true,Yes,0,2,neutral
suspect,true,Yes,0,2,neutral
britain,false,No,0,0,neutral
compli,false,No,0,0,neutral
with,false,No,0,0,neutral
europ,false,No,0,0,neutral
check,false,No,0,0,neutral
britain,false,No,0,2,neutral
fridai,false,No,0,2,neutral
deni,false,No,0,2,neutral
report,false,No,0,2,neutral
that,false,No,0,2,neutral
secretli,false,No,0,2,neutral
avoid,false,No,0,2,neutral
implement,false,No,0,2,neutral
european,false,No,0,2,neutral
union,false,No,0,2,neutral
rule,false,No,0,2,neutral
stop,false,No,0,2,neutral
diseas,false,No,0,2,neutral
spread,false,No,0,2,neutral
contin,false,No,0,2,neutral
guardian,false,No,0,1,neutral
newspap,false,No,0,1,neutral
said,false,No,0,1,neutral
almost,false,No,0,1,neutral
million,false,No,0,1,neutral
cattl,false,No,0,1,neutral
were,false,No,0,1,neutral
sold,false,No,0,1,neutral
britain,false,No,0,1,neutral
partner,false,No,0,1,neutral
without,false,No,0,1,neutral
adequ,false,No,0,1,neutral
control,false,No,0,1,neutral
thei,false,No,0,1,neutral
been,false,No,0,1,neutral
born,false,No,0,1,neutral
infect,false,No,0,1,neutral
with,false,No,0,1,neutral
bovin,false,No,0,1,neutral
spongiform,false,No,0,1,neutral
encephalopathi,false,No,0,1,neutral
diseas,false,No,0,1,neutral
paper,false,No,0,2,neutral
alleg,false,No,0,2,neutral
that,false,No,0,2,neutral
ministri,false,No,0,2,neutral
agricultur,false,No,0,2,neutral
issu,false,No,0,2,neutral
secret,false,No,0,2,neutral
order,false,No,0,2,neutral
offici,false,No,0,2,neutral
that,false,No,0,2,neutral
thei,false,No,0,2,neutral
need,false,No,0,2,neutral
carri,false,No,0,2,neutral
comput,false,No,0,2,neutral
check,false,No,0,2,neutral
onli,false,No,0,2,neutral
percent,false,No,0,2,neutral
calv,false,No,0,2,neutral
export,false,No,0,2,neutral
contin,false,No,0,2,neutral
rule,false,No,0,0,neutral
requir,false,No,0,0,neutral
percent,false,No,0,0,neutral
verif,false,No,0,0,neutral
turkish,true,No,0,3,neutral
offici,true,No,0,3,neutral
hail,true,No,0,3,neutral
fridai,true,No,0,3,neutral
move,true,No,0,3,neutral
royal,true,No,0,3,neutral
dutch,true,No,0,3,neutral
shell,true,No,0,3,neutral
group,true,No,0,3,neutral
build,true,No,0,3,neutral
termin,true,No,0,3,neutral
power,true,No,0,3,neutral
plant,true,No,0,3,neutral
complex,true,No,0,3,neutral
worth,true,No,0,3,neutral
billion,true,No,0,3,neutral
turkei,true,No,0,3,neutral
return,true,No,0,3,neutral
foreign,true,No,0,3,neutral
confid,true,No,0,3,neutral
countri,true,No,0,3,neutral
polit,true,No,0,3,neutral
econom,true,No,0,3,neutral
instabl,true,No,0,3,neutral
over,true,No,0,3,neutral
past,true,No,0,3,neutral
year,true,No,0,3,neutral
have,false,No,0,0,neutral
express,false,No,0,0,neutral
intent,false,No,0,0,neutral
