Ngrams,Negation,Contrast,Positive entities,Negative entities,Class
top of box,false,0,0,0,positive
overcame some of,false,0,0,1,positive
some of the,false,0,0,1,positive
of the worst,false,0,0,1,positive
the worst reviews,false,0,0,1,positive
worst reviews of,false,0,0,1,positive
reviews of the,false,0,0,1,positive
open at the,false,0,0,1,positive
at the top,false,0,0,1,positive
the top of,false,0,0,1,positive
top of the,false,0,0,1,positive
of the u,false,0,0,1,positive
the u s,false,0,0,1,positive
s  box,false,0,0,1,positive
opportunity to respond,false,0,0,1,positive
to respond positively,false,0,0,1,positive
hopeful that there,false,0,1,0,positive
that there would,false,0,1,0,positive
there would be,false,0,1,0,positive
would be a,false,0,1,0,positive
be a speedy,false,0,1,0,positive
a speedy resolution,false,0,1,0,positive
speedy resolution to,false,0,1,0,positive
resolution to any,false,0,1,0,positive
will come as,false,0,0,0,positive
come as a,false,0,0,0,positive
as a relief,false,0,0,0,positive
voted  percent,false,0,0,0,positive
percent in favor,false,0,0,0,positive
forecast stability or,false,0,0,0,positive
stability or gains,false,0,0,0,positive
closed slightly higher,false,0,0,0,positive
right to this,false,0,0,0,positive
to this money,false,0,0,0,positive
slightly better than,false,0,1,0,positive
better than an,false,0,1,0,positive
than an estimate,false,0,1,0,positive
an estimate in,false,0,1,0,positive
there will be,false,0,1,0,positive
will be concrete,false,0,1,0,positive
be concrete progress,false,0,1,0,positive
clawing back most,false,0,0,0,positive
back most of,false,0,0,0,positive
most of the,false,0,0,0,positive
of the day,false,0,0,0,positive
the day s,false,0,0,0,positive
followed a string,false,0,0,1,positive
a string of,false,0,0,1,positive
string of records,false,0,0,1,positive
of records last,false,0,0,1,positive
culminating in friday,false,0,0,0,positive
in friday s,false,0,0,0,positive
friday s trading,false,0,0,0,positive
s trading high,false,0,0,0,positive
showing the necessary,false,0,1,0,positive
the necessary political,false,0,1,0,positive
necessary political will,false,0,1,0,positive
political will to,false,0,1,0,positive
having already made,false,0,0,0,positive
already made considerable,false,0,0,0,positive
made considerable progress,false,0,0,0,positive
considerable progress on,false,0,0,0,positive
progress on paring,false,0,0,0,positive
clear determination on,false,0,1,0,positive
determination on behalf,false,0,1,0,positive
on behalf of,false,0,1,0,positive
behalf of governments,false,0,1,0,positive
of governments to,false,0,1,0,positive
very strong recovery,false,0,0,0,positive
better than the,false,0,1,1,positive
than the same,false,0,1,1,positive
the same period,false,0,1,1,positive
same period a,false,0,1,1,positive
period a year,false,0,1,1,positive
a year ago,false,0,1,1,positive
year ago both,false,0,1,1,positive
ago both in,false,0,1,1,positive
both in japan,false,0,1,1,positive
a gradual recovery,false,0,0,1,positive
gradual recovery trend,false,0,0,1,positive
than  percent,false,0,0,1,positive
percent of its,false,0,0,1,positive
of its worldwide,false,0,0,1,positive
its worldwide membership,false,0,0,1,positive
worldwide membership had,false,0,0,1,positive
membership had accepted,false,0,0,1,positive
had accepted the,false,0,0,1,positive
accepted the offer,false,0,0,1,positive
up from the,false,0,0,0,positive
the  percent,false,0,0,0,positive
percent acceptance level,false,0,0,0,positive
well placed to,false,0,1,0,positive
placed to win,false,0,1,0,positive
to win high,false,0,1,0,positive
need to strengthen,false,0,0,0,positive
pushed prices higher,false,0,0,0,positive
hit a string,false,0,0,1,positive
a string of,false,0,0,1,positive
string of records,false,0,0,1,positive
wowed canada with,false,0,0,0,positive
canada with his,false,0,0,0,positive
with his record,false,0,0,0,positive
his record smashing,false,0,0,0,positive
setting a new,false,0,0,0,positive
a new record,false,0,0,0,positive
confirmed them as,false,0,1,0,positive
them as rightful,false,0,1,0,positive
as rightful owners,false,0,1,0,positive
great strategic importance,false,0,1,0,positive
gave a boost,false,0,0,0,positive
move underscores apple,true,0,0,1,positive
underscores apple s,true,0,0,1,positive
apple s commitment,true,0,0,1,positive
s commitment to,true,0,0,1,positive
commitment to developing,true,0,0,1,positive
to developing internet,true,0,0,1,positive
developing internet technologies,true,0,0,1,positive
internet technologies and,true,0,0,1,positive
technologies and extends,true,0,0,1,positive
and extends the,true,0,0,1,positive
extends the relationship,true,0,0,1,positive
the relationship between,true,0,0,1,positive
relationship between the,true,0,0,1,positive
between the two,true,0,0,1,positive
the two companies,true,0,0,1,positive
two companies at,true,0,0,1,positive
companies at a,true,0,0,1,positive
at a time,true,0,0,1,positive
a time when,true,0,0,1,positive
time when they,true,0,0,1,positive
provide a hassle,false,0,0,1,positive
a hassle free,false,0,0,1,positive
hassle free experience,false,0,0,1,positive
free experience and,false,0,0,1,positive
experience and comprehensive,false,0,0,1,positive
and comprehensive customer,false,0,0,1,positive
highest futures price,false,0,0,0,positive
closed  higher,false,0,0,0,positive
four month highs,false,0,0,0,positive
post solid q,false,0,1,0,positive
q  profits,false,0,1,0,positive
justifying recent gains,false,0,0,0,positive
recent gains in,false,0,0,0,positive
gains in their,false,0,0,0,positive
in their stock,false,0,0,0,positive
reported a profit,false,0,0,0,positive
will be enough,true,0,0,1,positive
be enough to,true,0,0,1,positive
enough to declare,true,0,0,1,positive
to declare the,true,0,0,1,positive
declare the plan,true,0,0,1,positive
support grows for,false,0,0,0,positive
grows for lloyd,false,0,0,0,positive
for lloyd s,false,0,0,0,positive
lift german stocks,false,0,0,0,positive
german stocks to,false,0,0,0,positive
stocks to higher,false,0,0,0,positive
ended the day,false,0,0,0,positive
the day on,false,0,0,0,positive
day on tuesday,false,0,0,0,positive
volumes higher than,false,0,0,0,positive
higher than monday,false,0,0,0,positive
than monday s,false,0,0,0,positive
monday s year,false,0,0,0,positive
chemical shares drove,true,0,0,0,positive
shares drove afternoon,true,0,0,0,positive
drove afternoon ibis,true,0,0,0,positive
reported an eight,false,0,0,0,positive
an eight percent,false,0,0,0,positive
eight percent increase,false,0,0,0,positive
rose a healthy,false,0,1,0,positive
healthy  percent,false,0,1,0,positive
forecast higher profits,false,0,0,0,positive
great growth potential,false,0,2,0,positive
growth potential and,false,0,2,0,positive
potential and will,false,0,2,0,positive
and will obtain,false,0,2,0,positive
will obtain a,false,0,2,0,positive
obtain a better,false,0,2,0,positive
increased  percent,false,0,0,0,positive
sees higher profits,false,0,0,0,positive
more than doubled,false,0,0,0,positive
would be clearly,false,0,0,0,positive
be clearly higher,false,0,0,0,positive
surge in profits,false,0,0,0,positive
increase in profits,false,0,0,0,positive
profitability improved in,false,0,0,0,positive
improved in all,false,0,0,0,positive
in all areas,false,0,0,0,positive
all areas of,false,0,0,0,positive
areas of the,false,0,0,0,positive
of the group,false,0,0,0,positive
sees  new,false,0,0,0,positive
expects to add,false,0,0,0,positive
add  new,false,0,0,0,positive
new workers by,false,0,0,0,positive
workers by the,false,0,0,0,positive
by the end,false,0,0,0,positive
the end of,false,0,0,0,positive
end of the,false,0,0,0,positive
of the year,false,0,0,0,positive
in addition to,false,0,0,0,positive
addition to an,false,0,0,0,positive
to an increase,false,0,0,0,positive
stands on the,false,0,0,0,positive
on the side,false,0,0,0,positive
seen promising trend,false,0,0,0,positive
two monthly trade,false,0,0,0,positive
monthly trade surpluses,false,0,0,0,positive
good figure for,false,0,1,0,positive
figure for the,false,0,1,0,positive
for the market,false,0,1,0,positive
provide some bullish,false,0,1,0,positive
some bullish trend,false,0,1,0,positive
concentrate on and,false,0,0,0,positive
on and develop,false,0,0,0,positive
strong portfolio of,false,0,0,0,positive
portfolio of title,false,0,0,0,positive
trading close around,false,0,0,0,positive
close around their,false,0,0,0,positive
around their highest,false,0,0,0,positive
their highest for,false,0,0,0,positive
highest for a,false,0,0,0,positive
gone very well,false,0,1,0,positive
very well today,false,0,1,0,positive
appear to be,false,0,1,0,positive
to be very,false,0,1,0,positive
be very happy,false,0,1,0,positive
concentrate on and,false,0,0,0,positive
on and develop,false,0,0,0,positive
create such a,false,0,0,2,positive
such a dominant,false,0,0,2,positive
a dominant force,false,0,0,2,positive
dominant force in,false,0,0,2,positive
force in the,false,0,0,2,positive
rising to a,false,0,0,0,positive
to a new,false,0,0,0,positive
a new record,false,0,0,0,positive
has led the,false,0,0,0,positive
led the rise,false,0,0,0,positive
the rise in,false,0,0,0,positive
rise in media,false,0,0,0,positive
lead media sector,false,0,0,0,positive
media sector up,false,0,0,0,positive
continued to rise,false,0,0,0,positive
pretty well signalled,false,0,1,1,positive
provided a good,false,0,1,0,positive
a good platform,false,0,1,0,positive
paying a special,false,0,0,0,positive
a special dividend,false,0,0,0,positive
expected to see,false,0,1,0,positive
to see a,false,0,1,0,positive
see a very,false,0,1,0,positive
a very good,false,0,1,0,positive
no repeat of,true,0,0,0,positive
repeat of the,true,0,0,0,positive
of the ugly,true,0,0,0,positive
ends in high,false,0,0,0,positive
in high spirits,false,0,0,0,positive
approved rules designed,false,0,2,1,positive
rules designed to,false,0,2,1,positive
designed to give,false,0,2,1,positive
to give stock,false,0,2,1,positive
give stock market,false,0,2,1,positive
stock market investors,false,0,2,1,positive
market investors a,false,0,2,1,positive
investors a better,false,0,2,1,positive
a better chance,false,0,2,1,positive
better chance at,false,0,2,1,positive
chance at getting,false,0,2,1,positive
at getting the,false,0,2,1,positive
getting the best,false,0,2,1,positive
the best price,false,0,2,1,positive
recognised as qualified,false,0,0,0,positive
closed floor trading,false,0,0,1,positive
floor trading up,false,0,0,1,positive
pushes london stocks,false,0,0,0,positive
london stocks to,false,0,0,0,positive
stocks to new,false,0,0,0,positive
helped push leading,false,0,0,1,positive
push leading london,false,0,0,1,positive
leading london shares,false,0,0,1,positive
london shares to,false,0,0,1,positive
shares to a,false,0,0,1,positive
to a new,false,0,0,1,positive
citing rising near,false,0,0,0,positive
rising near term,false,0,0,0,positive
near term confidence,false,0,0,0,positive
his rising confidence,false,0,0,0,positive
helping to ease,false,0,0,1,positive
sending the dollar,false,0,0,0,positive
the dollar soaring,false,0,0,0,positive
dollar soaring above,false,0,0,0,positive
above  yen,false,0,0,0,positive
forecast a rise,false,0,0,0,positive
epidemic is in,false,0,0,0,positive
is in rapid,false,0,0,0,positive
in rapid decline,false,0,0,0,positive
have made their,false,0,0,0,positive
made their views,false,0,0,0,positive
their views toward,false,0,0,0,positive
caught financial markets,false,0,1,0,positive
financial markets on,false,0,1,0,positive
markets on the,false,0,1,0,positive
will likely be,false,0,0,0,positive
likely be lured,false,0,0,0,positive
be lured back,false,0,0,0,positive
now we re,true,0,0,0,positive
we re at,true,0,0,0,positive
re at the,true,0,0,0,positive
at the point,true,0,0,0,positive
the point where,true,0,0,0,positive
point where the,true,0,0,0,positive
where the fundamentals,true,0,0,0,positive
the fundamentals are,true,0,0,0,positive
back on the,false,0,0,0,positive
on the recovery,false,0,0,0,positive
the recovery track,false,0,0,0,positive
buzz of excitement,false,0,0,0,positive
closing at record,false,0,0,0,positive
at record highs,false,0,0,0,positive
it s always,false,0,0,1,positive
s always been,false,0,0,1,positive
always been getting,false,0,0,1,positive
been getting ahead,false,0,0,1,positive
getting ahead of,false,0,0,1,positive
ahead of itself,false,0,0,1,positive
of itself in,false,0,0,1,positive
itself in terms,false,0,0,1,positive
brings mexican markets,false,0,0,0,positive
mexican markets to,false,0,0,0,positive
markets to life,false,0,0,0,positive
play a major,false,0,0,0,positive
a major role,false,0,0,0,positive
expected to save,false,0,0,0,positive
save  million,false,0,0,0,positive
steps to revitalise,false,0,0,0,positive
feel like a,false,0,0,1,positive
like a movie,false,0,0,1,positive
a movie star,false,0,0,1,positive
a limited edition,false,0,0,1,positive
limited edition t,false,0,0,1,positive
edition t shirt,false,0,0,1,positive
t shirt and,false,0,0,1,positive
shirt and discounts,false,0,0,1,positive
and discounts on,false,0,0,1,positive
discounts on food,false,0,0,1,positive
branded credit cards,false,0,0,0,positive
credit cards that,false,0,0,0,positive
cards that make,false,0,0,0,positive
that make going,false,0,0,0,positive
make going into,false,0,0,0,positive
going into debt,false,0,0,0,positive
into debt more,false,0,0,0,positive
debt more fun,false,0,0,0,positive
preferential seating in,false,0,0,1,positive
seating in the,false,0,0,1,positive
in the restaurants,false,0,0,1,positive
pulled coffee prices,false,0,0,0,positive
coffee prices up,false,0,0,0,positive
held interest rates,false,0,1,0,positive
interest rates steady,false,0,1,0,positive
within a stone,false,0,0,0,positive
a stone s,false,0,0,0,positive
stone s throw,false,0,0,0,positive
s throw of,false,0,0,0,positive
throw of its,false,0,0,0,positive
of its record,false,0,0,0,positive
keeps interest rates,false,0,1,0,positive
interest rates steady,false,0,1,0,positive
profitable and making,false,0,1,0,positive
and making money,false,0,1,0,positive
making money in,false,0,1,0,positive
money in the,false,0,1,0,positive
in the internet,false,0,1,0,positive
offer the service,false,0,0,1,positive
the service for,false,0,0,1,positive
service for free,false,0,0,1,positive
will rise a,false,0,0,0,positive
rise a projected,false,0,0,0,positive
projected  percent,false,0,0,0,positive
percent to an,false,0,0,0,positive
to an average,false,0,0,0,positive
an average of,false,0,0,0,positive
of  per,false,0,0,0,positive
recover hundreds of,false,0,0,1,positive
hundreds of millions,false,0,0,1,positive
of millions of,false,0,0,1,positive
will be welcome,false,0,1,0,positive
be welcome relief,false,0,1,0,positive
cent an hour,false,0,0,2,positive
an hour increase,false,0,0,2,positive
hour increase will,false,0,0,2,positive
increase will have,false,0,0,2,positive
will have little,false,0,0,2,positive
have little short,false,0,0,2,positive
held interest rates,false,0,1,0,positive
interest rates steady,false,0,1,0,positive
held interest rates,false,0,1,0,positive
interest rates steady,false,0,1,0,positive
stock prices rose,true,0,0,0,positive
prices rose after,true,0,0,0,positive
rose after the,true,0,0,0,positive
after the fed,true,0,0,0,positive
closed mostly higher,false,0,0,0,positive
cleared a hurdle,false,0,0,0,positive
campaigned among u,false,0,0,0,positive
among u s,false,0,0,0,positive
s  war,false,0,0,0,positive
lent his prestige,false,0,0,0,positive
his prestige and,false,0,0,0,positive
prestige and popularity,false,0,0,0,positive
gave millions of,false,0,0,0,positive
millions of americans,false,0,0,0,positive
of americans a,false,0,0,0,positive
got a reward,false,0,0,0,positive
ability to keep,false,0,0,1,positive
cooling off without,false,0,0,0,positive
off without inflation,false,0,0,0,positive
without inflation heating,false,0,0,0,positive
the united states,false,0,1,1,positive
united states may,false,0,1,1,positive
states may seek,false,0,1,1,positive
may seek an,false,0,1,1,positive
seek an informal,false,0,1,1,positive
an informal alliance,false,0,1,1,positive
informal alliance with,false,0,1,1,positive
alliance with japan,false,0,1,1,positive
with japan and,false,0,1,1,positive
japan and the,false,0,1,1,positive
and the european,false,0,1,1,positive
the european union,false,0,1,1,positive
european union to,false,0,1,1,positive
union to win,false,0,1,1,positive
to win world,false,0,1,1,positive
win world trade,false,0,1,1,positive
world trade rules,false,0,1,1,positive
trade rules to,false,0,1,1,positive
rules to assure,false,0,1,1,positive
lent his prestige,false,0,0,0,positive
his prestige and,false,0,0,0,positive
prestige and popularity,false,0,0,0,positive
helped lead u,false,0,0,0,positive
lead u s,false,0,0,0,positive
s  troops,false,0,0,0,positive
troops to victory,false,0,0,0,positive
to victory in,false,0,0,0,positive
victory in operation,false,0,0,0,positive
in operation desert,false,0,0,0,positive
operation desert storm,false,0,0,0,positive
desert storm in,false,0,0,0,positive
storm in the,false,0,0,0,positive
chalked up a,false,0,0,0,positive
up a record,false,0,0,0,positive
couldn t have,false,0,1,0,positive
t have forecast,false,0,1,0,positive
have forecast a,false,0,1,0,positive
forecast a better,false,0,1,0,positive
a better background,false,0,1,0,positive
better background for,false,0,1,0,positive
background for the,false,0,1,0,positive
closes at record,false,0,0,0,positive
a lot going,false,0,0,0,positive
lot going for,false,0,0,0,positive
going for it,false,0,0,0,positive
closed  points,false,0,0,0,positive
surpassing the previous,false,0,0,1,positive
previous  record,false,0,0,1,positive
expected to triple,false,0,0,0,positive
expected the retail,false,0,0,0,positive
the retail revenues,false,0,0,0,positive
retail revenues to,false,0,0,0,positive
developing in line,false,0,0,0,positive
in line with,false,0,0,0,positive
with  expectations,false,0,0,0,positive
closed slightly better,false,0,1,0,positive
slightly better at,false,0,1,0,positive
at  points,false,0,1,0,positive
shifting of interest,false,0,0,0,positive
hits two month,false,0,0,0,positive
two month peak,false,0,0,0,positive
were at their,false,0,0,0,positive
at their highest,false,0,0,0,positive
their highest levels,false,0,0,0,positive
make a go,false,0,0,0,positive
a go of,false,0,0,0,positive
go of breaking,false,0,0,0,positive
of breaking through,false,0,0,0,positive
breaking through its,false,0,0,0,positive
through its recent,false,0,0,0,positive
its recent price,false,0,0,0,positive
recent price ceiling,false,0,0,0,positive
price ceiling at,false,0,0,0,positive
ceiling at just,false,0,0,0,positive
at just under,false,0,0,0,positive
to  million,false,0,0,0,positive
not pointing toward,true,0,0,0,positive
pointing toward tightening,true,0,0,0,positive
was likely to,false,0,0,0,positive
likely to be,false,0,0,0,positive
to be stronger,false,0,0,0,positive
anticipating a continuation,false,0,1,0,positive
a continuation of,false,0,1,0,positive
continuation of the,false,0,1,0,positive
of the positive,false,0,1,0,positive
the positive business,false,0,1,0,positive
helped it outperform,false,0,0,1,positive
it outperform the,false,0,0,1,positive
outperform the rest,false,0,0,1,positive
the rest of,false,0,0,1,positive
rest of the,false,0,0,1,positive
happy to see,false,0,1,0,positive
to see it,false,0,1,0,positive
see it accomplished,false,0,1,0,positive
lauded as australian,false,0,0,0,positive
as australian of,false,0,0,0,positive
australian of the,false,0,0,0,positive
winning the prestigious,false,0,1,0,positive
the prestigious america,false,0,1,0,positive
prestigious america s,false,0,1,0,positive
america s cup,false,0,1,0,positive
s cup yacht,false,0,1,0,positive
towards the top,false,0,0,0,positive
the top end,false,0,0,0,positive
top end of,false,0,0,0,positive
end of analysts,false,0,0,0,positive
analysts  forecasts,false,0,0,0,positive
closes at record,false,0,0,0,positive
closes at record,false,0,0,0,positive
turned the corner,false,0,0,0,positive
possible turning point,false,0,1,0,positive
expected to triple,false,0,0,0,positive
realisation of the,false,0,0,0,positive
of the dream,false,0,0,0,positive
provide new services,false,0,0,0,positive
supply interactive services,false,0,0,0,positive
very big demand,false,0,0,0,positive
reaching a peak,false,0,0,0,positive
rallied to close,false,0,0,0,positive
to close higher,false,0,0,0,positive
this is what,false,0,0,0,positive
is what the,false,0,0,0,positive
what the imf,false,0,0,0,positive
real net profit,false,0,0,1,positive
net profit growth,false,0,0,1,positive
returning to normal,true,0,0,1,positive
made two significant,false,0,0,0,positive
two significant expansionary,false,0,0,0,positive
significant expansionary moves,false,0,0,0,positive
closed slightly higher,false,0,0,0,positive
ended just firmer,false,0,0,0,positive
raised on tuesday,false,0,0,0,positive
on tuesday his,false,0,0,0,positive
tuesday his offer,false,0,0,0,positive
raised its takeover,false,0,0,0,positive
its takeover offer,false,0,0,0,positive
slightly above market,false,0,0,0,positive
above market expectations,false,0,0,0,positive
confounding most expectations,false,0,0,0,positive
doubles as premier,false,0,0,0,positive
as premier or,false,0,0,0,positive
premier or cabinet,false,0,0,0,positive
understanding the magnitude,false,0,0,0,positive
the magnitude of,false,0,0,0,positive
magnitude of the,false,0,0,0,positive
a positive impact,false,0,1,0,positive
plan now to,true,0,0,1,positive
now to rest,true,0,0,1,positive
savor the sweetness,false,0,0,0,positive
the sweetness of,false,0,0,0,positive
sweetness of freedom,false,0,0,0,positive
good trade number,false,0,1,0,positive
predicted improved earnings,false,0,0,0,positive
mixed economic data,true,0,0,1,positive
touch of political,false,0,0,0,positive
of political pressure,false,0,0,0,positive
exceptional profit performance,false,0,0,0,positive
significant turnaround in,false,0,0,0,positive
turnaround in profitability,false,0,0,0,positive
analysts  expectations,false,0,0,0,positive
fuelled by expense,false,0,0,1,positive
by expense cuts,false,0,0,1,positive
cuts  fatter,false,0,0,1,positive
fatter price mark,false,0,0,1,positive
price mark ups,false,0,0,1,positive
mark ups and,false,0,0,1,positive
ups and robust,false,0,0,1,positive
and robust sales,false,0,0,1,positive
cost cuts and,false,0,0,0,positive
cuts and profits,false,0,0,0,positive
removed a possible,false,0,1,0,positive
a possible roadblock,false,0,1,0,positive
their ability to,false,0,0,2,positive
ability to keep,false,0,0,2,positive
to keep their,false,0,0,2,positive
keep their families,false,0,0,2,positive
their families together,false,0,0,2,positive
families together and,false,0,0,2,positive
together and their,false,0,0,2,positive
and their failure,false,0,0,2,positive
their failure to,false,0,0,2,positive
got a reward,false,0,0,0,positive
the green light,false,0,0,2,positive
green light to,false,0,0,2,positive
light to start,false,0,0,2,positive
to start flying,false,0,0,2,positive
start flying two,false,0,0,2,positive
flying two more,false,0,0,2,positive
an emerging category,false,0,0,0,positive
above average crop,false,0,0,1,positive
neither false nor,true,0,0,0,positive
false nor misleading,true,0,0,0,positive
some more volume,false,0,0,0,positive
jumped more than,false,0,0,0,positive
than  percent,false,0,0,0,positive
close a touch,false,0,0,0,positive
a touch higher,false,0,0,0,positive
managed a slight,false,0,0,1,positive
a slight gain,false,0,0,1,positive
rebounded from monday,false,0,0,0,positive
from monday s,false,0,0,0,positive
monday s losses,false,0,0,0,positive
inflationary pressures were,false,0,0,1,positive
pressures were less,false,0,0,1,positive
capital increase is,false,0,0,0,positive
increase is intended,false,0,0,0,positive
is intended to,false,0,0,0,positive
strong overseas demand,false,0,0,0,positive
tone to continue,false,0,1,0,positive
to continue positive,false,0,1,0,positive
closed near the,false,0,0,0,positive
near the day,false,0,0,0,positive
the day s,false,0,0,0,positive
expectations of positive,false,0,1,1,positive
of positive corporate,false,0,1,1,positive
positive corporate news,false,0,1,1,positive
push to its,false,0,0,0,positive
to its all,false,0,0,0,positive
its all time,false,0,0,0,positive
some profit taking,false,0,0,0,positive
just off the,false,0,0,0,positive
off the day,false,0,0,0,positive
the day s,false,0,0,0,positive
may be limited,false,0,0,0,positive
closed with gains,false,0,0,0,positive
getting a positive,false,0,1,0,positive
a positive injection,false,0,1,0,positive
rebounded and buoyed,true,0,0,0,positive
and buoyed by,true,0,0,0,positive
buoyed by overseas,true,0,0,0,positive
by overseas economic,true,0,0,0,positive
much more positive,false,0,1,0,positive
better than expected,false,0,1,0,positive
than expected first,false,0,1,0,positive
